EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,
5135446,E CENTRAL SJ VALLEY (ZONE), ,2/1/2000,1,Heavy Rain, , ,0,0,0,0,CA,PST, ,1091686,Z,90,HNX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , ,1,,
5132680,LAKE CO.,LAKEPORT,2/4/2000,1600,Heavy Rain, , ,0,0,0,0,CA,PST, ,1091391,C,33,STO,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,LAKEPORT, , , ,2,,
5135116,E CENTRAL SJ VALLEY (ZONE), ,2/13/2000,0,Heavy Rain, , ,0,0,0,0,CA,PST, ,1091704,Z,90,HNX,0,0,OFFICIAL NWS OBS., , , , , , , , , , , , ,,"The San Joaquin Valley floor received 2/3rds of an inch of rain during the rain episode resulting in its typical flooded streets. Fresno reached 5.59 of water-year rain by the afternoon of the 13th ... 87% of normal for the date...and ended with 1.08"" for the 24-hour period.  This broke the old rain record for-the-date of 0.80"" set in 1936. Fresno's 4-day rainfall total ending on the 13th was 2.08"".""",3,,
5148210,MADERA CO.,MADERA,6/8/2000,800,Heavy Rain, , ,0,0,0,100000,CA,PST, ,1096063,C,39,HNX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,MADERA, , , ,4,,
5174109,E CENTRAL SJ VALLEY (ZONE), ,9/1/2000,340,Heavy Rain, , ,0,0,0,250000,CA,PST, ,1103418,Z,90,HNX,0,0,NEWSPAPER, , , , , , , , , , , , ,,"Convective activity formed and moved over the Central San Joaquin Valley in the wee hours of the morning of the 1st.  Thundershowers caused damage to the drying raisins in the Fresno County area and lightning strikes caused power outages to 6,000 customers in the Madera Ranchos, Oakhurst, Mariposa, and Bear Valley areas.  A pedestrian was injured when struck by lightning at Shaw Avenue and Golden State Blvd in northwest Fresno.  Fresno received 0.32 of rain breaking the record for the date of 0.21"" held for 79 years. Many other areas on the Valley floor were less than 0.10"" although isolated heavier amounts were received at Madera Ranchos of 0.90"" and 0.65"" at Clovis. Southern Sierra foothill areas received just over 1/2 inch with 0.35"" reported at Tehachapi in the Kern Mountains.""",5,,
5227899,LOS ANGELES CO.,COUNTYWIDE,1/10/2001,1100,Heavy Rain, , ,0,0,0,0,CA,PST, ,1110151,C,37,LOX,0,0,TRAINED SPOTTER, , , , , , , ,COUNTYWIDE, , , , ,,"A powerful winter storm brought heavy rain, heavy snow and strong winds to Central and Southern California. Total rainfall amounts ranged from 2 to 5 inches across coastal areas...with between 5 to 10 inches of liquid equivalent precipitation in the mountains. Due to very dry soil conditions, flash flooding did not occur. However...numerous reports of urban flooding were received, including the cities of Orcutt, Mount Olympus and Pasadena. This storm also dropped snow levels down to around 3000 feet, producing very significant snowfall in the mountains. At resort levels, above 6000 feet, snowfall totals ranged between 2 and 4 feet. Between 3000 and 6000 feet, snowfall totals ranged from 8 to 24 inches. Along with the heavy snow, southerly winds of 30 to 40 mph with gusts to 60 mph produced widespread visibilities of one mile or less in blowing snow across the mountains.",6,,
5230422,LOS ANGELES CO.,COUNTYWIDE,2/11/2001,600,Heavy Rain, , ,0,0,0,0,CA,PST, ,1110774,C,37,LOX,0,0,OFFICIAL NWS OBS., , , , , , , ,COUNTYWIDE, , , , ,,"A powerful Pacific storm brought heavy rain, heavy snow and gusty winds to Central and Southern California. Overall, 2 to 8 inches of rain fell across the area, producing numerous reports of urban flooding. With the storm, snow levels fell to around 1500 feet in some areas. Ski resorts reported between 3 to 7 feet of new snowfall. With such low snow levels, the Cuyama and Antelope Valleys reported between 4 to 8 inches of snowfall. Along with the precipitation, gusty south winds of 40 to 60 mph developed in the mountains. Across coastal and valley areas of Ventura and Los Angeles counties, southeast winds of 30 to 50 mph developed and produced some damage. The worst wind damage was in San Pedro Harbor where several docks were damaged and even one boat was sunk.",7,,
5230442,LOS ANGELES CO.,COUNTYWIDE,2/24/2001,1000,Heavy Rain, , ,0,0,0,0,CA,PST, ,1110777,C,37,LOX,0,0,OFFICIAL NWS OBS., , , , , , , ,COUNTYWIDE, , , , ,,"A Pacific storm brought more rain, snow and wind to Central and Southern California. Overall, rainfall totals were between 1 to 4 inches, producing numerous reports of urban flooding. In the mountains, snowfall totals were 8 to 16 inches, mainly above 6000 feet. Along with the snow, south winds gusting to 50 mph developed in the mountains.",8,,
5236423,LOS ANGELES CO.,COUNTYWIDE,3/4/2001,1400,Heavy Rain, , ,0,0,0,0,CA,PST, ,1112041,C,37,LOX,0,0,OFFICIAL NWS OBS., , , , , , , ,COUNTYWIDE, , , , ,,"A powerful and slow-moving storm brought heavy rain, strong winds and snow to Central and Southern California. Across San Luis Obispo and Santa Barbara counties, rainfall totals ranged from 2 to 6 inches over coastal and valley areas to 6 to 13 inches in the mountains. In San Luis Obispo county, the heavy rain produced numerous flooding. In Oceano, the Arroyo Grande Creek overflowed, destroying numerous crops and damaging one home. Also, the Pacific Dunes RV Park was flooded, stranding several residents. In Arroyo Grande, flooding along Corbett Creek damaged 4 homes and 5 classrooms in Arroyo Grande High School. In Pismo Beach, flooding along Pismo Creek damaged some homes in Pismo Court Village. In Nipomo, several small streams flooded, damaging 20 to 30 homes. In Creston, the heavy rain produced widespread urban flooding. Widespread flooding also occurred across Santa Barbara county. The Santa Barbara Airport was flooded when the Las Vegas and Mission Creeks overflowed. Many reports of mudslides were received from Santa Barbara county. In addition, the extreme rainfall and runoff resulted in flooding along the Santa Ynez River. Along the Santa Ynez River, the peak river stage reached 21 feet which was 9 feet above flood stage. Across Ventura and Los Angeles counties, rainfall totals were somewhat less, but still very significant. Ventura county received between 3 and 12 inches of rainfall while Los Angeles county received 1 to 3 inches. This heavy rainfall produced numerous flooding and mudslides. Near Fillmore, South Mountain and Guiberson Roads were closed due to mudslides. In Malibu, mudslides closed sections of Corral Canyon and Malibu Canyon Roads. Across Central and Southern California, strong southeasterly winds accompanied the storm. Widespread winds between 30 and 50 MPH with stronger gusts were reported from the coastal areas to the mountains. In the mountains of Ventura and Los Angeles counties, winter storm conditions developed with snowfall accumulations of 6 to 12 inches, gusty southeast winds and visibilities near zero in blowing snow and dense fog.",9,,
5261883,MONO (ZONE), ,7/2/2001,1930,Heavy Rain, , ,0,0,0,0,CA,PST, ,1121119,Z,73,REV,0,0,OFFICIAL NWS OBS., , , , , , , , , , , , ,,"The Hanford National Weather Service Office relayed a report of heavy rain that produced a mud and rock slide that closed Highway 120 below Tioga Pass.  Some hail was observed near 11,000 feet.",10,,
