EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5140851,SUFFOLK CO.,LINDENHURST,04/21/2000,1655,Flash Flood, , ,0,0,0,0,NY,EST, ,1093796,C,103,OKX,0,0,TRAINED SPOTTER, , , , , , , ,LINDENHURST, , , , ,"","
A series of intense thunderstorms moved north to northeast across Nassau and Western Suffolk Counties during Friday afternoon and evening on April 21st.  The thunderstorms were accompanied by torrential rainfall that produced widespread severe flooding of low-lying and poor drainage areas and frequent and intense lightning strikes.

Rainfall amounts ranged from around 3 to 7 inches.  Significant and widespread ponding of water caused the closure of several stretches of road such as from Route 109 to Wellwood Avenue along the Sunrise Highway in Lindenhurst and stretches of Park Avenue and Siegel Boulevard in Babylon Village.  Many cars were trapped by rising flood waters in Babylon, necessitating several rescues.  Severe urban flooding also occurred in the westbound lanes of Hempstead Turnpike near the Nassau Medical Center in East Meadow.

Frequent and intense lightning strikes ignited fires and caused damage to many houses throughout Nassau and Suffolk Counties.  At 5:30 pm, lightning struck and ignited a house fire on Tahlulah Lane in West Islip.  Lightning blew a 4-inch hole in the siding of a house on Oakwood Road in Huntington Station.  Houses were also struck by lightning in Floral Park, Port Washington and Hicksville.  Cost estimates of property damage were unavailable.

Here are selected rainfall amounts for:

Nassau County:  from 3.50 inches at Plainview to 6.64 inches at Baldwin.  Spotters measured 5.54 inches at Wantagh and 5.26 inches at Massapequa.

Suffolk County:  from 2.40 inches at West Islip to 4.92 inches at Farmingdale Republic Airport.  Spotters measured 4.24 inches at Lake Grove, 4.17 inches at Centerport, and 3.66 inches at Deer Park.

Thunderstorms also produced heavy rain across Eastern Orange County.  Rainfall amounts from 2 to 3 inches caused ponding of water in low-lying and poor drainage areas.  Rainfall amounts ranged from 2.04 inches at Montgomery to 2.44 inches at Newburgh.  A spotter from Middletown measured 2.25 inches.",1
5140849,NASSAU CO.,EAST PORTION,04/21/2000,1900,Flash Flood, , ,0,0,0,0,NY,EST, ,1093796,C,59,OKX,0,0,TRAINED SPOTTER, , , , , , , ,EAST PORTION, , , , ,"","
A series of intense thunderstorms moved north to northeast across Nassau and Western Suffolk Counties during Friday afternoon and evening on April 21st.  The thunderstorms were accompanied by torrential rainfall that produced widespread severe flooding of low-lying and poor drainage areas and frequent and intense lightning strikes.

Rainfall amounts ranged from around 3 to 7 inches.  Significant and widespread ponding of water caused the closure of several stretches of road such as from Route 109 to Wellwood Avenue along the Sunrise Highway in Lindenhurst and stretches of Park Avenue and Siegel Boulevard in Babylon Village.  Many cars were trapped by rising flood waters in Babylon, necessitating several rescues.  Severe urban flooding also occurred in the westbound lanes of Hempstead Turnpike near the Nassau Medical Center in East Meadow.

Frequent and intense lightning strikes ignited fires and caused damage to many houses throughout Nassau and Suffolk Counties.  At 5:30 pm, lightning struck and ignited a house fire on Tahlulah Lane in West Islip.  Lightning blew a 4-inch hole in the siding of a house on Oakwood Road in Huntington Station.  Houses were also struck by lightning in Floral Park, Port Washington and Hicksville.  Cost estimates of property damage were unavailable.

Here are selected rainfall amounts for:

Nassau County:  from 3.50 inches at Plainview to 6.64 inches at Baldwin.  Spotters measured 5.54 inches at Wantagh and 5.26 inches at Massapequa.

Suffolk County:  from 2.40 inches at West Islip to 4.92 inches at Farmingdale Republic Airport.  Spotters measured 4.24 inches at Lake Grove, 4.17 inches at Centerport, and 3.66 inches at Deer Park.

Thunderstorms also produced heavy rain across Eastern Orange County.  Rainfall amounts from 2 to 3 inches caused ponding of water in low-lying and poor drainage areas.  Rainfall amounts ranged from 2.04 inches at Montgomery to 2.44 inches at Newburgh.  A spotter from Middletown measured 2.25 inches.",2
5140854,SUFFOLK CO.,BABYLON,04/21/2000,1900,Flash Flood, , ,0,0,0,0,NY,EST, ,1093796,C,103,OKX,0,0,TRAINED SPOTTER, , , , , , , ,SOUTH HUNTINGTON, , , , ,"","
A series of intense thunderstorms moved north to northeast across Nassau and Western Suffolk Counties during Friday afternoon and evening on April 21st.  The thunderstorms were accompanied by torrential rainfall that produced widespread severe flooding of low-lying and poor drainage areas and frequent and intense lightning strikes.

Rainfall amounts ranged from around 3 to 7 inches.  Significant and widespread ponding of water caused the closure of several stretches of road such as from Route 109 to Wellwood Avenue along the Sunrise Highway in Lindenhurst and stretches of Park Avenue and Siegel Boulevard in Babylon Village.  Many cars were trapped by rising flood waters in Babylon, necessitating several rescues.  Severe urban flooding also occurred in the westbound lanes of Hempstead Turnpike near the Nassau Medical Center in East Meadow.

Frequent and intense lightning strikes ignited fires and caused damage to many houses throughout Nassau and Suffolk Counties.  At 5:30 pm, lightning struck and ignited a house fire on Tahlulah Lane in West Islip.  Lightning blew a 4-inch hole in the siding of a house on Oakwood Road in Huntington Station.  Houses were also struck by lightning in Floral Park, Port Washington and Hicksville.  Cost estimates of property damage were unavailable.

Here are selected rainfall amounts for:

Nassau County:  from 3.50 inches at Plainview to 6.64 inches at Baldwin.  Spotters measured 5.54 inches at Wantagh and 5.26 inches at Massapequa.

Suffolk County:  from 2.40 inches at West Islip to 4.92 inches at Farmingdale Republic Airport.  Spotters measured 4.24 inches at Lake Grove, 4.17 inches at Centerport, and 3.66 inches at Deer Park.

Thunderstorms also produced heavy rain across Eastern Orange County.  Rainfall amounts from 2 to 3 inches caused ponding of water in low-lying and poor drainage areas.  Rainfall amounts ranged from 2.04 inches at Montgomery to 2.44 inches at Newburgh.  A spotter from Middletown measured 2.25 inches.",3
5140852,SUFFOLK CO.,WEST CENTRAL PORTION,04/21/2000,2235,Flash Flood, , ,0,0,0,0,NY,EST, ,1093796,C,103,OKX,0,0,TRAINED SPOTTER, , , , , , , ,WEST CENTRAL PORTION, , , , ,"","
A series of intense thunderstorms moved north to northeast across Nassau and Western Suffolk Counties during Friday afternoon and evening on April 21st.  The thunderstorms were accompanied by torrential rainfall that produced widespread severe flooding of low-lying and poor drainage areas and frequent and intense lightning strikes.

Rainfall amounts ranged from around 3 to 7 inches.  Significant and widespread ponding of water caused the closure of several stretches of road such as from Route 109 to Wellwood Avenue along the Sunrise Highway in Lindenhurst and stretches of Park Avenue and Siegel Boulevard in Babylon Village.  Many cars were trapped by rising flood waters in Babylon, necessitating several rescues.  Severe urban flooding also occurred in the westbound lanes of Hempstead Turnpike near the Nassau Medical Center in East Meadow.

Frequent and intense lightning strikes ignited fires and caused damage to many houses throughout Nassau and Suffolk Counties.  At 5:30 pm, lightning struck and ignited a house fire on Tahlulah Lane in West Islip.  Lightning blew a 4-inch hole in the siding of a house on Oakwood Road in Huntington Station.  Houses were also struck by lightning in Floral Park, Port Washington and Hicksville.  Cost estimates of property damage were unavailable.

Here are selected rainfall amounts for:

Nassau County:  from 3.50 inches at Plainview to 6.64 inches at Baldwin.  Spotters measured 5.54 inches at Wantagh and 5.26 inches at Massapequa.

Suffolk County:  from 2.40 inches at West Islip to 4.92 inches at Farmingdale Republic Airport.  Spotters measured 4.24 inches at Lake Grove, 4.17 inches at Centerport, and 3.66 inches at Deer Park.

Thunderstorms also produced heavy rain across Eastern Orange County.  Rainfall amounts from 2 to 3 inches caused ponding of water in low-lying and poor drainage areas.  Rainfall amounts ranged from 2.04 inches at Montgomery to 2.44 inches at Newburgh.  A spotter from Middletown measured 2.25 inches.",4
5154965,RICHMOND CO.,NORTHEAST PORTION,07/03/2000,1705,Flash Flood, , ,0,0,0,0,NY,EST, ,1100597,C,85,OKX,0,0,EMERGENCY MANAGER, , , , , , , ,NORTHEAST PORTION, , , , ,"","
Thunderstorms produced rainfall rates estimated by radar at up to 4 inches per hour for less than 1 hour across Northeast Richmond (Staten Island), Southwest Kings (Brooklyn) and Northern Queens Counties.  These excessive rainfall rates were confirmed by two weather stations in Kings County (Brooklyn).  The Bishop Kearney High School Weather Station measured a maximum rainfall rate of 4.48 inches per hour and the P.S. 170 Weather Station measured a maximum rainfall rate of 4.20 inches per hour.

In Richmond County, significant ponding of water trapped people in two cars near the Verranzano Bridge.

In Kings County, significant low-lying and poor drainage flooding occurred along the Belt Parkway in Bay Ridge.

In Queens County, the New York City Office of Emergency Management reported significant low-lying and poor drainage flooding on the Cross Island Parkway near the Whitestone Bridge.",5
5154966,KINGS CO.,SOUTHWEST PORTION,07/03/2000,1736,Flash Flood, , ,0,0,0,0,NY,EST, ,1100597,C,47,OKX,0,0,EMERGENCY MANAGER, , , , , , , ,SOUTHWEST PORTION, , , , ,"","
Thunderstorms produced rainfall rates estimated by radar at up to 4 inches per hour for less than 1 hour across Northeast Richmond (Staten Island), Southwest Kings (Brooklyn) and Northern Queens Counties.  These excessive rainfall rates were confirmed by two weather stations in Kings County (Brooklyn).  The Bishop Kearney High School Weather Station measured a maximum rainfall rate of 4.48 inches per hour and the P.S. 170 Weather Station measured a maximum rainfall rate of 4.20 inches per hour.

In Richmond County, significant ponding of water trapped people in two cars near the Verranzano Bridge.

In Kings County, significant low-lying and poor drainage flooding occurred along the Belt Parkway in Bay Ridge.

In Queens County, the New York City Office of Emergency Management reported significant low-lying and poor drainage flooding on the Cross Island Parkway near the Whitestone Bridge.",6
5154967,QUEENS CO.,NORTH PORTION,07/03/2000,1800,Flash Flood, , ,0,0,0,0,NY,EST, ,1100597,C,81,OKX,0,0,EMERGENCY MANAGER, , , , , , , ,NORTH PORTION, , , , ,"","
Thunderstorms produced rainfall rates estimated by radar at up to 4 inches per hour for less than 1 hour across Northeast Richmond (Staten Island), Southwest Kings (Brooklyn) and Northern Queens Counties.  These excessive rainfall rates were confirmed by two weather stations in Kings County (Brooklyn).  The Bishop Kearney High School Weather Station measured a maximum rainfall rate of 4.48 inches per hour and the P.S. 170 Weather Station measured a maximum rainfall rate of 4.20 inches per hour.

In Richmond County, significant ponding of water trapped people in two cars near the Verranzano Bridge.

In Kings County, significant low-lying and poor drainage flooding occurred along the Belt Parkway in Bay Ridge.

In Queens County, the New York City Office of Emergency Management reported significant low-lying and poor drainage flooding on the Cross Island Parkway near the Whitestone Bridge.",7
5154980,NASSAU CO.,LEVITTOWN,07/31/2000,1205,Flash Flood, , ,0,0,0,0,NY,EST, ,1100604,C,59,OKX,0,0,LAW ENFORCEMENT, , , , , , , ,LEVITTOWN, , , , ,"","
As thunderstorms moved very slowly northeast, they produced torrential rain that caused serious widespread flooding of low-lying and poor drainage areas within Levittown and Terryville (just southwest of Port Jefferson).

In Levittown, up to 3 inches of rain fell in less than 90 minutes ending around 1:05 pm EDT.  Water rapidly ponded up to 4 feet in streets just north of Hempstead Turnpike.  Flash flooding caused several road closures.

In Terryville, up to 3.5 inches of rain fell in about 90 minutes.  Water rapidly ponded up to 3 feet in several streets, which caused closures.  Many cars were trapped in high water along Routes 112 and 347.",8
5154981,SUFFOLK CO.,TERRYVILLE,07/31/2000,1315,Flash Flood, , ,0,0,0,0,NY,EST, ,1100604,C,103,OKX,0,0,LAW ENFORCEMENT, , , , , , , ,TERRYVILLE, , , , ,"","
As thunderstorms moved very slowly northeast, they produced torrential rain that caused serious widespread flooding of low-lying and poor drainage areas within Levittown and Terryville (just southwest of Port Jefferson).

In Levittown, up to 3 inches of rain fell in less than 90 minutes ending around 1:05 pm EDT.  Water rapidly ponded up to 4 feet in streets just north of Hempstead Turnpike.  Flash flooding caused several road closures.

In Terryville, up to 3.5 inches of rain fell in about 90 minutes.  Water rapidly ponded up to 3 feet in several streets, which caused closures.  Many cars were trapped in high water along Routes 112 and 347.",9
5169534,SUFFOLK CO.,AMAGANSETT,08/01/2000,910,Flash Flood, , ,0,0,0,0,NY,EST, ,1101391,C,103,OKX,0,0,LAW ENFORCEMENT, , , , , , , ,MONTAUK, , , , ,"","
Bands of torrential rain along with thunderstorms moved slowly north across the region.  Rainfall rates of around 1.5 inches per hour developed around 9 am EDT and by 10:10 am EDT, widespread flooding of low-lying and poor drainage areas was reported by police from Amagansett to Montauk Point.  The NWS Cooperative Observer from Bridgehampton measured 2.02 inches.  Heavy rain, with amounts generally under 2 inches, occurred along the Northern Twin Fork from east of Mattituck to Orient Point from around 9 am to 10 am EDT.",10
