EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5238957,RICHMOND CO.,COUNTYWIDE,3/30/2001,945,Flood, , ,0,0,0,0,NY,EST, ,1112431,C,85,OKX,0,0,TRAINED SPOTTER,,,, , , , ,COUNTYWIDE, , , , ,,"
A low pressure system moved northeast along the mid Atlantic coast and produced widespread heavy rain across the New York City metropolitan area and Long Island beginning late Thursday night March 29th and ending by Friday evening March 30th. The low developed over the southeast states Thursday afternoon, and moved northeast to a position near Washington D.C. by early Friday morning. The low then continued moving northeast, passing across eastern Long Island early Friday afternoon, and off the New England coast by late Friday night. Strong overrunning"" of warm", moist air over a pre-existing colder airmass
5238955,KINGS CO.,COUNTYWIDE,3/30/2001,1000,Flood, , ,0,0,0,0,NY,EST, ,1112431,C,47,OKX,0,0,TRAINED SPOTTER,,,, , , , ,COUNTYWIDE, , , , ,,"
A low pressure system moved northeast along the mid Atlantic coast and produced widespread heavy rain across the New York City metropolitan area and Long Island beginning late Thursday night March 29th and ending by Friday evening March 30th. The low developed over the southeast states Thursday afternoon, and moved northeast to a position near Washington D.C. by early Friday morning. The low then continued moving northeast, passing across eastern Long Island early Friday afternoon, and off the New England coast by late Friday night. Strong overrunning"" of warm", moist air over a pre-existing colder airmass
5238958,QUEENS CO.,COUNTYWIDE,3/30/2001,1000,Flood, , ,0,0,0,0,NY,EST, ,1112431,C,81,OKX,0,0,TRAINED SPOTTER,,,, , , , ,COUNTYWIDE, , , , ,,"
A low pressure system moved northeast along the mid Atlantic coast and produced widespread heavy rain across the New York City metropolitan area and Long Island beginning late Thursday night March 29th and ending by Friday evening March 30th. The low developed over the southeast states Thursday afternoon, and moved northeast to a position near Washington D.C. by early Friday morning. The low then continued moving northeast, passing across eastern Long Island early Friday afternoon, and off the New England coast by late Friday night. Strong overrunning"" of warm", moist air over a pre-existing colder airmass
5238954,NEW YORK CO.,COUNTYWIDE,3/30/2001,1000,Flood, , ,0,0,0,0,NY,EST, ,1112431,C,61,OKX,0,0,TRAINED SPOTTER,,,, , , , ,COUNTYWIDE, , , , ,,"
A low pressure system moved northeast along the mid Atlantic coast and produced widespread heavy rain across the New York City metropolitan area and Long Island beginning late Thursday night March 29th and ending by Friday evening March 30th. The low developed over the southeast states Thursday afternoon, and moved northeast to a position near Washington D.C. by early Friday morning. The low then continued moving northeast, passing across eastern Long Island early Friday afternoon, and off the New England coast by late Friday night. Strong overrunning"" of warm", moist air over a pre-existing colder airmass
5238961,WESTCHESTER CO.,COUNTYWIDE,3/30/2001,1030,Flood, , ,0,0,0,0,NY,EST, ,1112431,C,119,OKX,0,0,TRAINED SPOTTER,,,, , , , ,COUNTYWIDE, , , , ,,"
A low pressure system moved northeast along the mid Atlantic coast and produced widespread heavy rain across the New York City metropolitan area and Long Island beginning late Thursday night March 29th and ending by Friday evening March 30th. The low developed over the southeast states Thursday afternoon, and moved northeast to a position near Washington D.C. by early Friday morning. The low then continued moving northeast, passing across eastern Long Island early Friday afternoon, and off the New England coast by late Friday night. Strong overrunning"" of warm", moist air over a pre-existing colder airmass
5238959,NASSAU CO.,COUNTYWIDE,3/30/2001,1030,Flood, , ,0,0,0,0,NY,EST, ,1112431,C,59,OKX,0,0,TRAINED SPOTTER,,,, , , , ,COUNTYWIDE, , , , ,,"
A low pressure system moved northeast along the mid Atlantic coast and produced widespread heavy rain across the New York City metropolitan area and Long Island beginning late Thursday night March 29th and ending by Friday evening March 30th. The low developed over the southeast states Thursday afternoon, and moved northeast to a position near Washington D.C. by early Friday morning. The low then continued moving northeast, passing across eastern Long Island early Friday afternoon, and off the New England coast by late Friday night. Strong overrunning"" of warm", moist air over a pre-existing colder airmass
5238960,SUFFOLK CO.,COUNTYWIDE,3/30/2001,1100,Flood, , ,0,0,0,0,NY,EST, ,1112431,C,103,OKX,0,0,TRAINED SPOTTER,,,, , , , ,COUNTYWIDE, , , , ,,"
A low pressure system moved northeast along the mid Atlantic coast and produced widespread heavy rain across the New York City metropolitan area and Long Island beginning late Thursday night March 29th and ending by Friday evening March 30th. The low developed over the southeast states Thursday afternoon, and moved northeast to a position near Washington D.C. by early Friday morning. The low then continued moving northeast, passing across eastern Long Island early Friday afternoon, and off the New England coast by late Friday night. Strong overrunning"" of warm", moist air over a pre-existing colder airmass
5251323,NEW YORK CO.,COUNTYWIDE,6/17/2001,1000,Flood, , ,0,0,0,0,NY,EST, ,1116569,C,61,OKX,0,0,TRAINED SPOTTER,,,, , , , ,COUNTYWIDE, , , , ,,"
On Sunday, June 17th, abundant moisture from the remnants of tropical storm Allison, combined with a cold front approaching from the west, produced extremely heavy rainfall across much of southeast New York during the early morning hours.  Rainfall rates of up to 3 inches per hour produced widespread street and highway flooding, in addition to some flash flooding of small streams.  Some rivers approached or even slightly exceeded flood stage during this heavy rain event.

Heavy rain first affected portions of Rockland and Westchester Counties between 3:30 AM and 6 AM EDT.  The area of heavy rain then slowly shifted east, across New York City around mid morning through midday, Nassau and western Suffolk Counties from late morning through early afternoon, and across central and eastern Suffolk County during the early to mid afternoon hours.  

In Rockland County, the Mahwah River at Suffern crested at 3.79 feet at 10:15 AM EDT, remaining just below its' flood stage of 4.0 feet. However, widespread flooding of streets occurred during the morning hours in Rockland County, closing several major roads which became impassable due to the excessive rainfall.  Several houses were also evacuated due to flooding conditions, particularly near Valley Cottage.

Excessive rainfall also led to severe flooding conditions across portions of Westchester County.  In Greenburgh, 23 residential structures experienced basement flooding, causing thousands of dollars of property damage in the Babbitt Court area.  In Ossining, the Sparta Brook overflowed its' banks around 5 AM EDT, washing away a backyard and flooding an adjoining basement and garage.  Flooding also was reported in Mt. Kisco, particularly near Shoppers Park, where several stores reported damage from the flooding.  Damage to several municipal buildings was also reported in other portions of downtown Mt. Kisco.   

There were also numerous reports of street and highway flooding in the New York City area, as well as Nassau and Suffolk Counties on Long Island, which led to several major road and highway closings.

Here are some rainfall totals for this event:

In Rockland County: 1.65 inches at Suffern.

In Westchester County: From 2.69 inches at Westchester County Airport in White Plains, to 5.73 inches in Granite Springs.

In the New York City area: From 1.37 inches in Brooklyn, to 2.36 inches at John F. Kennedy International Airport in Queens.  In addition, a daily record amount of 1.55 inches occurred at Central Park.

In Nassau County: From 2.51 inches at Wantagh, to 5 inches at Lido Beach.

In Suffolk County: From 2.27 inches at Copiague, to 4.35 inches at Patchogue.",8
5251265,RICHMOND CO.,RICHMOND,6/23/2001,1300,Flood, , ,0,0,0,0,NY,EST, ,1116564,C,85,OKX,0,0,TRAINED SPOTTER,,,, , , , ,RICHMOND, , , , ,,"
A severe thunderstorm produced high winds and torrential rain as it passed over Larchmont.  High winds downed many trees, which fell on  houses, uprooted sidewalks, and downed power lines in a 15 to 20 block area.  This storm also downed trees and power lines in Mamaroneck. Torrential rain also caused flooding of low-lying and poor drainage areas.

Heavy rains caused widespread significant ponding of water in poor drainage and low-lying areas in the New York City area.  In Staten Island, several cars became inundated with water and stalled.  Several people required rescue from their cars.  In Manhattan, flooding caused the closure of a large segment of West Side highway between 100th and 120th Streets.

These heavy rains also led to rises in area rivers and streams. In Rockland County, the Mahwah River at Suffern was above its' flood stage of 4.0 ft. from 4:56 PM EDT on June 23rd until 3:42 AM EDT on June 24th. The crest stage was 5.8 ft. at 7:00 PM on June 23rd.  Also, in Stony Point, a 17 year old male was swept into floodwaters at a culvert on Willow Grove Drive.  He was rescued, and suffered only minor injuries. 

Frequent cloud to ground lightning also accompanied some of these thunderstorms. Lightning struck a house at 29 Captain Shankey Drive in Haverstraw at 2:56 pm EDT and struck a person at 1 Lyle Terrace at 3:15 pm EDT. In Westchester County, lightning struck a utility pole in Yorktown, causing hot electrical wires to fall on an occupied Sports Utility Vehicle.  The occupant was briefly trapped in the vehicle, but was uninjured.",9
5251266,NEW YORK CO.,NEW YORK,6/23/2001,1300,Flood, , ,0,0,0,0,NY,EST, ,1116564,C,61,OKX,0,0,TRAINED SPOTTER,,,, , , , ,NEW YORK, , , , ,,"
A severe thunderstorm produced high winds and torrential rain as it passed over Larchmont.  High winds downed many trees, which fell on  houses, uprooted sidewalks, and downed power lines in a 15 to 20 block area.  This storm also downed trees and power lines in Mamaroneck. Torrential rain also caused flooding of low-lying and poor drainage areas.

Heavy rains caused widespread significant ponding of water in poor drainage and low-lying areas in the New York City area.  In Staten Island, several cars became inundated with water and stalled.  Several people required rescue from their cars.  In Manhattan, flooding caused the closure of a large segment of West Side highway between 100th and 120th Streets.

These heavy rains also led to rises in area rivers and streams. In Rockland County, the Mahwah River at Suffern was above its' flood stage of 4.0 ft. from 4:56 PM EDT on June 23rd until 3:42 AM EDT on June 24th. The crest stage was 5.8 ft. at 7:00 PM on June 23rd.  Also, in Stony Point, a 17 year old male was swept into floodwaters at a culvert on Willow Grove Drive.  He was rescued, and suffered only minor injuries. 

Frequent cloud to ground lightning also accompanied some of these thunderstorms. Lightning struck a house at 29 Captain Shankey Drive in Haverstraw at 2:56 pm EDT and struck a person at 1 Lyle Terrace at 3:15 pm EDT. In Westchester County, lightning struck a utility pole in Yorktown, causing hot electrical wires to fall on an occupied Sports Utility Vehicle.  The occupant was briefly trapped in the vehicle, but was uninjured.",10
