EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5139684,QUEENS CO.,COUNTYWIDE,3/11/2000,1400,Heavy Rain, , ,0,0,0,0,NY,EST, ,1093244,C,81,OKX,0,0,AWOS,,,, , , , , , , ,COUNTYWIDE, , , , 
5141518,NASSAU CO.,COUNTYWIDE,3/11/2000,1430,Heavy Rain, , ,0,0,0,0,NY,EST, ,1093244,C,59,OKX,0,0,AWOS,,,, , , , , , , ,COUNTYWIDE, , , , 
5141519,SUFFOLK CO.,COUNTYWIDE,3/11/2000,1500,Heavy Rain, , ,0,0,0,0,NY,EST, ,1093244,C,103,OKX,0,0,AWOS,,,, , , , , , , ,COUNTYWIDE, , , , 
5146712,ONONDAGA (ZONE), ,5/1/2000,0,Heavy Rain, , ,0,0,0,0,NY,EST, ,1095956,Z,18,BGM,0,0,OFFICIAL NWS OBS.,,,, , , , , , , , , ,,May was a very wet month for much of central New York. At the Binghamton Regional Airport  May 2000 was the wettest May on record and it was in the top ten at the Syracuse Airport as well. The month continued the wet trend which began in April.  Many farmers are anticipating reduced crop yields due to the need to delay planting until fields were dry enough to be worked. Some also accured losses from seeds rotting in waterlogged fields or from having newly planted crops wash away.,4
5146709,DELAWARE (ZONE), ,5/1/2000,0,Heavy Rain, , ,0,0,0,0,NY,EST, ,1095956,Z,57,BGM,0,0,OFFICIAL NWS OBS.,,,, , , , , , , , , ,,May was a very wet month for much of central New York. At the Binghamton Regional Airport  May 2000 was the wettest May on record and it was in the top ten at the Syracuse Airport as well. The month continued the wet trend which began in April.  Many farmers are anticipating reduced crop yields due to the need to delay planting until fields were dry enough to be worked. Some also accured losses from seeds rotting in waterlogged fields or from having newly planted crops wash away.,5
5146708,CORTLAND (ZONE), ,5/1/2000,0,Heavy Rain, , ,0,0,0,0,NY,EST, ,1095956,Z,44,BGM,0,0,OFFICIAL NWS OBS.,,,, , , , , , , , , ,,May was a very wet month for much of central New York. At the Binghamton Regional Airport  May 2000 was the wettest May on record and it was in the top ten at the Syracuse Airport as well. The month continued the wet trend which began in April.  Many farmers are anticipating reduced crop yields due to the need to delay planting until fields were dry enough to be worked. Some also accured losses from seeds rotting in waterlogged fields or from having newly planted crops wash away.,6
5146707,CHENANGO (ZONE), ,5/1/2000,0,Heavy Rain, , ,0,0,0,0,NY,EST, ,1095956,Z,45,BGM,0,0,OFFICIAL NWS OBS.,,,, , , , , , , , , ,,May was a very wet month for much of central New York. At the Binghamton Regional Airport  May 2000 was the wettest May on record and it was in the top ten at the Syracuse Airport as well. The month continued the wet trend which began in April.  Many farmers are anticipating reduced crop yields due to the need to delay planting until fields were dry enough to be worked. Some also accured losses from seeds rotting in waterlogged fields or from having newly planted crops wash away.,7
5146719,SULLIVAN (ZONE), ,5/1/2000,0,Heavy Rain, , ,0,0,0,0,NY,EST, ,1095956,Z,62,BGM,0,0,OFFICIAL NWS OBS.,,,, , , , , , , , , ,,May was a very wet month for much of central New York. At the Binghamton Regional Airport  May 2000 was the wettest May on record and it was in the top ten at the Syracuse Airport as well. The month continued the wet trend which began in April.  Many farmers are anticipating reduced crop yields due to the need to delay planting until fields were dry enough to be worked. Some also accured losses from seeds rotting in waterlogged fields or from having newly planted crops wash away.,8
5146718,STEUBEN (ZONE), ,5/1/2000,0,Heavy Rain, , ,0,0,0,0,NY,EST, ,1095956,Z,22,BGM,0,0,OFFICIAL NWS OBS.,,,, , , , , , , , , ,,May was a very wet month for much of central New York. At the Binghamton Regional Airport  May 2000 was the wettest May on record and it was in the top ten at the Syracuse Airport as well. The month continued the wet trend which began in April.  Many farmers are anticipating reduced crop yields due to the need to delay planting until fields were dry enough to be worked. Some also accured losses from seeds rotting in waterlogged fields or from having newly planted crops wash away.,9
5146717,SOUTHERN ONEIDA (ZONE), ,5/1/2000,0,Heavy Rain, , ,0,0,0,0,NY,EST, ,1095956,Z,37,BGM,0,0,OFFICIAL NWS OBS.,,,, , , , , , , , , ,,May was a very wet month for much of central New York. At the Binghamton Regional Airport  May 2000 was the wettest May on record and it was in the top ten at the Syracuse Airport as well. The month continued the wet trend which began in April.  Many farmers are anticipating reduced crop yields due to the need to delay planting until fields were dry enough to be worked. Some also accured losses from seeds rotting in waterlogged fields or from having newly planted crops wash away.,10
