EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5131520,LOS ANGELES CO.,GLENDORA,02/20/2000,2015,Flash Flood, , ,0,0,0,0,CA,PST, ,1090792,C,37,LOX,0,0,NEWSPAPER, , , ,6,N,6,N,GLENDORA, , , , ,"","A powerful winter storm brought heavy rain and snow to Central and Southern California. Heavy rain, totalling 2 to 6 inches, produced flash flooding across Santa Barbara, Ventura and Los Angeles counties. In Ventura and Los Angeles counties, flash flooding and mudslides closed parts of San Gabriel Canyon Road in the Angeles National Forest as well as Highway 150 near Lake Casitas and Highway 33 near Wheeler Gorge. In Goleta, Las Vegas Creek overflowed, flooding Goleta Valley Junior High School as well as Twin Lakes Golf Course. In addition, the heavy showers resulted in numerous reports of street flooding across the area. In the mountains, 12 to 22 inches of new snow was reported. Numerous thunderstorms were reported across the area, producing small hail and even a waterspout south of Santa Barbara airport.",1
5131777,LOS ANGELES CO.,ARCADIA,02/23/2000,1230,Flash Flood, , ,0,0,0,0,CA,PST, ,1090795,C,37,LOX,0,0,NEWSPAPER, , , ,1,N,1,N,ARCADIA, , , , ,"","A powerful Pacific storm brought heavy rain, thunderstorms and snow to Southern California. Heavy showers produced flash flooding in the hills north of Arcadia, where Santa Anita Canyon Road was washed out and mud flows occurred in Arcadia. In Central Los Angeles, gusty thunderstorm winds damaged roofs and blew down power lines. In fact, one power line, when blown down, electrified a metal fence which electrocuted a woman. Fortunately, the woman only suffered minor injuries. In the mountains, 10 to 18 inches of snow was reported.",2
5131778,LOS ANGELES CO.,ARCADIA,02/23/2000,1445,Flash Flood, , ,0,0,0,0,CA,PST, ,1090795,C,37,LOX,0,0,NEWSPAPER, , , ,6,N,6,N,ARCADIA, , , , ,"","A powerful Pacific storm brought heavy rain, thunderstorms and snow to Southern California. Heavy showers produced flash flooding in the hills north of Arcadia, where Santa Anita Canyon Road was washed out and mud flows occurred in Arcadia. In Central Los Angeles, gusty thunderstorm winds damaged roofs and blew down power lines. In fact, one power line, when blown down, electrified a metal fence which electrocuted a woman. Fortunately, the woman only suffered minor injuries. In the mountains, 10 to 18 inches of snow was reported.",3
5161367,LOS ANGELES CO.,MALIBU,10/27/2000,0,Flash Flood, , ,0,0,0,0,CA,PST, ,1103718,C,37,LOX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , ,MALIBU, , , , ,"Heavy rain, in excess of 1.5 inches per hour, produced flash flooding in the Malibu area. Flooding was reported in Malibu City Hall. Also, mudslides closed sections of Malibu Canyon Road.","",4
5257918,LOS ANGELES CO.,NORTHWEST PORTION,07/07/2001,1459,Flash Flood, , ,0,0,0,0,CA,PST, ,1118582,C,37,LOX,0,0,BROADCAST MEDIA, , , , , , , ,NORTHWEST PORTION, , , , ,"Strong monsoon thunderstorms produced heavy rain and flash flooding across the mountains and deserts of Los Angeles county. Numerous washed overflowed, flooding sections of Highway 138.","",5
5314705,LASSEN CO.,DOYLE,07/18/2002,1250,Flash Flood, , ,0,0,0,0,CA,PST, ,1141532,C,35,REV,0,0,NWS EMPLOYEE(OFF DUTY), , , ,8,S,8,S,DOYLE, , , , ,"","A line of severe thunderstorms moved across southern Lassen Co., CA.  Reports of golf-ball sized hail (1 3/4 inch) and flash flooding with mud flowing across highway 395.",6
5326556,MARIN CO.,SOUTHEAST PORTION,12/14/2002,1815,Flash Flood, , ,0,0,0,0,CA,PST, ,1145517,C,41,MTR,0,0,EMERGENCY MANAGER, , , , , , , ,SOUTHEAST PORTION, , , , ,"","December turned out to be one of the wettest on record at many locations throughout theCWA.  There were three primary episodes of precipitation in December, the first a two-day storm on the 9th and 10th.  With less than an inch and a half accumulation at any one location over the period, flooding problems were not an issue.  However, the rainfall totals helped to further saturate the soil.  The next and by far most serious storm episode begin on the 13th of the month and lasted on and off through the 21st.  A very strong and moist jet stream developed across the Pacific Ocean and brought a series of storms into California.  Wave after wave of locally heavy rain pounded the north bay counties for days.  Flooding became a serious issue, not just for urban and small stream flooding, but for mainstem flooding as well.  Flood warnings were issued for the Russian and Napa rivers and the forecast points along these rivers reached flood stage on the 16th and 17th of the month.  With a flood stage of 19 feet, the Healdsburg gauge on the Russian River crested at 19.56 feet.  With a flood stage of 32 feet, the Guerneville gauge on the Russian River crested at 33.57 feet.  With a flood stage of 13 feet, the St. Helena gauge on the Napa River crested at 15.47 feet.  With a flood stage of 25 feet, the Napa gauge on the Napa River crested at 26.44 feet.  Most of the mainstem flooding was minor in nature but there were areas of moderate flooding, mostly agricultural land.    The last storm  episode occurred from the 28th to the 31st.  These storms appeared to have the development to create serious flooding problems and because of that flood warnings were issued for the mainstems of the Russian and Napa rivers.  The jet stream that set up actually drove these storms further north than expected and the possible flooding over the north bay counties never materialized as serious as believed.  A good 2 to 4 inches of rain did fall over the area during that time with the most significant amounts over the coastal mountains.  Urban and small stream flooding did occur and there was great concern for possible mudslides due to the saturation of the soil.  
Historically, December 2002 became the 6th wettest in downtown San Francisco, our most well known location, since records began in 1849.  The total of 12.03 inches was 378% of normal and accounted for 54% of the total seasonal rainfall for that location.  Across the HSA at the end of December seasonal rainfall totals averaged 150 to 200 percent of normal for San Francisco and the north bay, and 125  to 175 percent of normal for the south bay and Monterey/San Benito counties.

Some 24 hour rain falls are as follows:

DEC 13-18/2002		Storm Total 4pm to 4pm
Location		12/13  12/14	12/15	 12/16
San Francicso Bay Area
Richmond		2	1.9	0.51	1.63
Concord		0.9	0.5	0.45	0.85
Fremont		0.39	0.97	0.22	1.14
Kentfield		5.5	4.17	0.91	2.26
Livermore		0.38	0.94	0.56	2.66
San Rafael		4.51	2.98	1.16	2.72
Moffett Field		0.34	1.01	0.73	1.36
Napa		             1.8	2.7	0.55	2.27
Oakland Musm		2.69	2.09	0.19	2.04
Oakland AP		1.17	1.88	0.2	1.27
Pacifica		             2.11	2.55	0.17	2.05
Redwood City		1.35	2.58	0.34	1.94
San Jose AP		0.15	1.08	0.58	1.08
San Jose		0.15	0.72	0.63	1.05
SFO		             1.04	1.6	0.22	2.23
San Francisco DT	1.14	1.89	0.29	1.88
Santa Rosa		2.15	3.12	0.85	1.98
Monterey Bay Area
Big Sur Station		0.89	2.06	1.01	2.52
Carmel Valley		0.09	0.43	0.81	1.73
Gilroy		             0.36	0.31	0.98	1.95
Hollister		             0.05	0.38	0.44	1.94
King City		0.11	0.09	0.26	1.14
Mntry NWSFO		0.15	0.38	0.7	1.14
Morgan Hill		T	1.22	0.87	2.75
Salinas		              0.24	0.64	0.09	0.68
Santa Cruz		2.88	3.59	0.46	1.24
Watsonville		1.45	2.35	0.6	1.1",7
5326666,MARIN CO.,SOUTH PORTION,12/19/2002,1120,Flash Flood, , ,0,0,0,0,CA,PST, ,1145518,C,41,MTR,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , ,SOUTH PORTION, , , , ,"","DEC 19-21/2002	Storm Total 4pm to 4pm
Location	Thu. 12/19	Fri. 12/20									
San Francicso Bay Area
Richmond	1.45	1.97	1.32								
Concord	1	0.4	0.5								
Fremont	1.15	1.62	0.15								
Kentfield	1.75	2.11	0.41								
Livermore	0.88	0.32	0.23								
San Rafael	1.47	1.23	0.13								
Moffett Field	0.96	0.48	0.08								
Napa	1.43	0.92	0.08								
Oakland Musm	1.21	0.78	0.19								
Oakland AP	1.21	0.81	0.24								
Pacifica	1.8	0.39	0.46								
Redwood City	1.03	0.52	0.16								
San Jose AP	0.96	0.6	0.13								
San Jose	1.01	0.63	0.15								
SFO	            1.34	0.46	 0.3								
San Francisco 	1.35	0.7	0.23								2.28
Santa Rosa	1.56	0.81	0.66								

Big Sur Station	1.1	0.96	m								
Carmel Valley	0.73	0.49	0.08								
Gilroy	0.87	0.9	0.51								
Hollister	0.33	0.4	0.13								
King City	0.47	0.82	0.51								
Mntry NWSFO	0.87	0.48	0.04								
Morgan Hill	0.43	0.96	0.59								
Salinas	0.75	0.44	0.04								
Santa Cruz	0.78	2.05	0.89								
Watsonville	0.91	0.43	0.93",8
5326667,MARIN CO.,SOUTH PORTION,12/19/2002,1120,Flash Flood, , ,0,0,0,0,CA,PST, ,1145519,C,41,MTR,0,0,EMERGENCY MANAGER, , , , , , , ,SOUTH PORTION, , , , ,"","",9
5368970,LOS ANGELES CO.,PALMDALE,08/20/2003,1528,Flash Flood, , ,0,0,0,0,CA,PST, ,1160511,C,37,LOX,0,0,LAW ENFORCEMENT, , , , , , , ,PALMDALE, , , , ,"Powerful monsoonal thunderstorms brought heavy rain and flash flooding to the Antelope Valley. California Highway Patrol reported flash flooding at several intersections in the community of Palmdale.","",10
