EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5132955,MARIPOSA CO.,BRICEBURG,01/24/2000,1530,Flood, , ,0,0,0,0,CA,PST, ,1091228,C,43,HNX,0,0,NEWSPAPER, , , , , , , ,BRICEBURG, , , , ,"","During the period from Sunday the 23rd through early Tuesday the 25th, significant rainfall occurred in Interior Central California. Highway 140 in Mariposa County near Briceburg was closed due to a rock and mudslide from the large amount of rain early on Monday the 24th.  San Joaquin Valley urban areas had significant ponding of water and mountain streams exhibited large amounts of flow with minimal adjacent flooding along the San Joaquin Valley floor and S.Sierra Nevada foothill interface.  On the Valley floor Merced received 1.82 inches.. Madera Ranchos 2.05".. Northeast Fresno 2.29".. East Visalia 2.20".. Northeast Exeter 1.80".. and Porterville 0.59".  In the mountain areas of the Southern Sierra Nevada Yosemite N.P. received 6.27 inches.. Fishcamp 10.00".. Bass Lake 6.78".. Shaver Lake 5.69".. Lodgepole 5.37".. Springville 3.35".. and Glenville 1.72".",1
5132676,CLEAR LAKE/SOUTHERN LAKE COUNTY (ZONE), ,02/11/2000,1800,Flood, , ,0,0,0,0,CA,PST, ,1091387,Z,64,STO,0,0,NEWSPAPER, , , , , , , , , , , , ,"","Flooding in the Greater Upper Lake area inundated an underground transformer. This caused 1,700 PG&E customers to lose power.",2
5134987,MARIPOSA CO.,MARIPOSA,02/13/2000,1220,Flood, , ,0,0,0,0,CA,PST, ,1091691,C,43,HNX,0,0,LAW ENFORCEMENT, , , , , , , ,MARIPOSA, , , , ,"","Mariposa Sheriff and CALTRANS reports numerous roads in the county closed where crossing creeks are flooding roads. Rainfall and snowfall in the northern portions of Mariposa County reached close to 110% of normal-for-the-date after the dismally dry start of the water-year.  In the mountain areas for a 4-day period ending on the 13th Yosemite Valley had 4.72" of rain, Shaver Lake 3.55", and Tehachapi 0.72".",3
5134781,MENDOCINO COAST (ZONE), ,02/14/2000,600,Flood, , ,0,0,0,0,CA,PST, ,1091195,Z,2,EKA,0,0,EMERGENCY MANAGER, , , , , , , , , , , , ,"","Flooding of the Russian and Navarro Rivers closed nearby highways.",4
5134780,MENDOCINO INTERIOR (ZONE), ,02/14/2000,830,Flood, , ,0,0,0,0,CA,PST, ,1091195,Z,76,EKA,0,0,EMERGENCY MANAGER, , , , , , , , , , , , ,"","Flooding of the Russian and Navarro Rivers closed nearby highways.",5
5131513,LOS ANGELES CO.,MONROVIA,02/16/2000,1500,Flood, , ,0,0,0,0,CA,PST, ,1090791,C,37,LOX,0,0,TRAINED SPOTTER, , , , , , , ,MONROVIA, , , , ,"","",6
5131523,LOS ANGELES CO.,LOS ANGELES,02/20/2000,1600,Flood, , ,0,0,0,0,CA,PST, ,1090792,C,37,LOX,0,0,TRAINED SPOTTER, , , , , , , ,LOS ANGELES, , , , ,"","A powerful winter storm brought heavy rain and snow to Central and Southern California. Heavy rain, totalling 2 to 6 inches, produced flash flooding across Santa Barbara, Ventura and Los Angeles counties. In Ventura and Los Angeles counties, flash flooding and mudslides closed parts of San Gabriel Canyon Road in the Angeles National Forest as well as Highway 150 near Lake Casitas and Highway 33 near Wheeler Gorge. In Goleta, Las Vegas Creek overflowed, flooding Goleta Valley Junior High School as well as Twin Lakes Golf Course. In addition, the heavy showers resulted in numerous reports of street flooding across the area. In the mountains, 12 to 22 inches of new snow was reported. Numerous thunderstorms were reported across the area, producing small hail and even a waterspout south of Santa Barbara airport.",7
5135009,MARIPOSA CO.,MARIPOSA,02/27/2000,800,Flood, , ,0,0,0,0,CA,PST, ,1091701,C,43,HNX,0,0,LAW ENFORCEMENT, , , , , , , ,MARIPOSA, , , , ,"","Minor flooding and ponding problems were reported with serveral secondary roads closed to heavy rain (and snow at the higher elevations).  Several secondary roads were closed by the Mariposa Sheriff as area streams ran bankfull. Significant precipitation occurred along the Southern Sierra Nevada including the foothill areas from Mariposa through Tulare County. On the San Joaquin Valley floor ..especially around the city of Fresno.. the steady rain continued with 1.87" of rain in a 24-hour period setting a new record for the date by eclipsing the old one of 1.03" in 1904.",8
5135369,LOS ANGELES CO.,ALTADENA,03/05/2000,1210,Flood, , ,0,0,0,0,CA,PST, ,1091954,C,37,LOX,0,0,TRAINED SPOTTER, , , , , , , ,ALTADENA, , , , ,"","A powerful Pacific storm brought snow and rain to Southern California. The storm produced 10 to 16 inches of snowfall in the mountains. In fact, snow levels dropped to near 2000 feet which resulted in the closure of many mountain highways, including Highways 14 and 33. Unstable air, associated with the storm, generated heavy showers. These heavy showers produced widespread street flooding across Los Angeles County.",9
5135370,LOS ANGELES CO.,HARBOR CITY,03/05/2000,1255,Flood, , ,0,0,0,0,CA,PST, ,1091954,C,37,LOX,0,0,TRAINED SPOTTER, , , , , , , ,HARBOR CITY, , , , ,"","A powerful Pacific storm brought snow and rain to Southern California. The storm produced 10 to 16 inches of snowfall in the mountains. In fact, snow levels dropped to near 2000 feet which resulted in the closure of many mountain highways, including Highways 14 and 33. Unstable air, associated with the storm, generated heavy showers. These heavy showers produced widespread street flooding across Los Angeles County.",10
