EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
291469,WESTCHESTER CO.,HAWTHORNE,03/06/2011,1844,Flood, , ,0,0,0,0,NY,EST-5, ,48467,C,119,OKX,0,0,Department of Highways,Heavy Rain / Snow Melt, , ,1,NW,1,S,PLEASANTVILLE,41.108,-73.8106,41.1337,-73.7967,"All lanes were closed on the Saw Mill River Pkwy. northbound between exit 26, Taconic State Pkwy., and exit 27, Marble Ave., due to flooding.  The southbound ramp at exit 29, Manville Rd./Rt. 117 was also closed due to flooding.","Several waves of low pressure tracked north along a slow moving cold front that extended from the Gulf Coast to Maine.  The combination of this slow moving boundary and a sub-tropical moisture feed aided in the production of heavy rainfall that resulted in moderate to major flooding across portions of Southeast New York.",1
283176,WESTCHESTER CO.,HAWTHORNE,03/06/2011,2112,Flood, , ,0,0,0,0,NY,EST-5, ,48467,C,119,OKX,0,0,Department of Highways,Heavy Rain, , ,0,W,0,NE,HAWTHORNE,41.1002,-73.8014,41.1036,-73.7933,"All lanes were closed on the Taconic State Parkway between the Bronx River Parkway and the Sprain Brook Parkway due to flooding.","Several waves of low pressure tracked north along a slow moving cold front that extended from the Gulf Coast to Maine.  The combination of this slow moving boundary and a sub-tropical moisture feed aided in the production of heavy rainfall that resulted in moderate to major flooding across portions of Southeast New York.",2
283177,ROCKLAND CO.,POMONA,03/06/2011,2123,Flood, , ,0,0,0,0,NY,EST-5, ,48467,C,87,OKX,0,0,Trained Spotter,Heavy Rain, , ,1,ESE,1,NNE,NEW CITY,41.1629,-74.008,41.1628,-73.9708,"Numerous roads were closed due to flooding throughout the town of Clarkstown in New City.","Several waves of low pressure tracked north along a slow moving cold front that extended from the Gulf Coast to Maine.  The combination of this slow moving boundary and a sub-tropical moisture feed aided in the production of heavy rainfall that resulted in moderate to major flooding across portions of Southeast New York.",3
283739,WESTCHESTER CO.,SPARKLE LAKE,03/06/2011,2150,Flood, , ,0,0,0,0,NY,EST-5, ,48467,C,119,OKX,0,0,Trained Spotter,Heavy Rain, , ,1,NNW,1,NNW,AMAWALK,41.2908,-73.7849,41.2902,-73.7735,"Runoff from heavy rain caused basement flooding in the town of Yorktown Heights.","Several waves of low pressure tracked north along a slow moving cold front that extended from the Gulf Coast to Maine.  The combination of this slow moving boundary and a sub-tropical moisture feed aided in the production of heavy rainfall that resulted in moderate to major flooding across portions of Southeast New York.",4
293457,ROCKLAND CO.,CENTRAL NYACK,03/11/2011,541,Flood, , ,0,0,0,0,NY,EST-5, ,49931,C,87,OKX,0,0,Broadcast Media,Heavy Rain / Snow Melt, , ,1,S,1,SW,SUFFERN,41.0918,-73.9498,41.1133,-74.1574,"Route 59 was impassable and closed in both directions between Palisades Center Dr. and Rt. 303 in West Nyack.  Route 17 was also closed in both directions from the NY State Thruway to the Orange County line in Sloatsburg.","Low pressure over the upper midwest slowly tracked across the Great Lakes into southeast Canada.  Very wet antecedent conditions were already in place from heavy rain a few days earlier.  This in combination with a slow moving frontal boundary and a sub-tropical moisture feed from a deep southerly wind flow aided in the production of more heavy rainfall that resulted in widespread flooding across the Lower Hudson Valley.",5
293458,WESTCHESTER CO.,FLEETWOOD,03/11/2011,541,Flood, , ,0,0,0,0,NY,EST-5, ,49931,C,119,OKX,0,0,Broadcast Media,Heavy Rain / Snow Melt, , ,1,ESE,2,N,DUNWOODIE,40.9124,-73.8079,40.9566,-73.8796,"The Saw Mill River Pkwy was impassable and closed in both directions between Tuckahoe Rd. in Yonkers and Harris Rd. in Katonah due to flooding.  The Taconic State Pkwy. was also impassable and closed in both directions between Cleveland St. and Stevens Ave. in Valhalla and then further north at the Saw Mill River Pkwy in Hawthorne due to flooding.  The Hutchinson River Pkwy. was impassable and closed southbound at Cross County Pkwy. and northbound at East Lincoln Ave. in Mount Vernon due to flooding.  Basement flooding was reported on Maxwell Ct. in Yorktown Heights.  Multiple roads were closed across Elmsford due to flooding.  The Sprain Brook Pkwy. was impassable and closed between Central Park Ave. and the Bronx River Pkwy split due to flooding.","Low pressure over the upper midwest slowly tracked across the Great Lakes into southeast Canada.  Very wet antecedent conditions were already in place from heavy rain a few days earlier.  This in combination with a slow moving frontal boundary and a sub-tropical moisture feed from a deep southerly wind flow aided in the production of more heavy rainfall that resulted in widespread flooding across the Lower Hudson Valley.",6
317267,WESTCHESTER CO.,PLEASANTVILLE,05/17/2011,1900,Flood, , ,0,0,0,0,NY,EST-5, ,53036,C,119,OKX,0,0,Newspaper,Heavy Rain, , ,1,S,1,NE,YONKERS,41.1338,-73.7994,40.9356,-73.8429,"The Saw Mill River Pkwy. around Marble Ave. near the Taconic State Pkwy., and the Bronx River Pkwy. from the County Center in White Plains south to the Sprain Brook Pkwy. were closed due to flooding.  Two water rescues were performed on the Bronx River Pkwy., one of which was at Pondfield Rd. in Bronxville.","A nearly stationary low pressure system over the Mid-Atlantic States produced heavy showers and thunderstorms that resulted in isolated flooding across parts of Westchester County.",7
340882,NASSAU CO.,ROCKVILLE CENTRE,08/14/2011,515,Flood, , ,0,0,0,0,NY,EST-5, ,56884,C,59,OKX,0,0,Emergency Manager,Heavy Rain, , ,0,NW,1,ENE,ROCKVILLE CENTRE,40.6737,-73.6055,40.6741,-73.5857,"The basements of several residences in Freeport were flooded with four to five feet of water.","A slow moving area of low pressure passed to the south of the Tri-State Area. High precipitable water values caused very heavy rain which resulted in flash flooding in Kings, Nassau and Suffolk Counties.",8
340886,KINGS CO.,BROOKLYN,08/14/2011,900,Flood, , ,0,0,0,0,NY,EST-5, ,56884,C,47,OKX,0,0,COOP Observer,Heavy Rain, , ,3,WSW,1,WSW,BROOKLYN,40.6371,-73.9747,40.6416,-73.9548,"The basements of several residences in Midwood were flooded.  Storm total rainfall amounts reported in Kings County ranged from 7.38 inches in Midwood to 8.75 inches in Sheepshead Bay.","A slow moving area of low pressure passed to the south of the Tri-State Area. High precipitable water values caused very heavy rain which resulted in flash flooding in Kings, Nassau and Suffolk Counties.",9
345886,RICHMOND CO.,ANNADALE,08/14/2011,2100,Flood, , ,0,0,0,0,NY,EST-5, ,56884,C,85,OKX,0,0,Broadcast Media,Heavy Rain, , ,1,NNW,0,NNW,ANNADALE,40.5595,-74.206,40.5569,-74.2022,"Two Sport Utility Vehicles were pulled out of flood waters at the Arden Ave. exit on the West Shore Expressway in Staten Island.","A slow moving area of low pressure passed to the south of the Tri-State Area. High precipitable water values caused very heavy rain which resulted in flash flooding in Kings, Nassau and Suffolk Counties.",10
