EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5481966,KINGS (BROOKLYN) (ZONE), ,10/16/2005,1318,Strong Wind,40, ,0,0,5000,0,NY,EST,EG,1201192,Z,75,OKX,0,0,EMERGENCY MANAGER, , , , , , , , , , , , ,"","
A strong west pressure gradient developed as an intensifying low pressure system moved north across Northern New England as a ridge of high pressure extended south across the Western Great Lakes.  With very wet antecedent conditions and most trees with full leaf canopies, many trees were downed in saturated ground as peak west winds gusted from 36 to 46 mph.

An off duty NWS employee reported a tree down on a house in Hampton Bays.  The NYC Office of Emergency Management reported trees down at many locations throughout Staten Island, Brooklyn, and Queens.  They also reported that a window on the 17th floor at Seventh Avenue and Forty Ninth Street in Manhattan was blown out as glass shattered in the streets.  A tree fell on a moving car on Jackie Robinson Parkway in Flushing Queens.  Injuries were unknown.  A tree fell on a person in Clove Lakes Park, about 1 mile north of Todt Hill in Staten Island.  Injury was unknown.",1
5481974,KINGS (BROOKLYN) (ZONE), ,10/25/2005,710,Strong Wind,42, ,0,0,10000,0,NY,EST,EG,1201195,Z,75,OKX,0,0,EMERGENCY MANAGER, , , , , , , , , , , , ,"","
With wet antecedent conditions and many trees still with nearly full leaf canopies, strong northeast winds and heavy rain caused by a coastal storm downed many trees across the region.  Peak wind gusts were between 40 and 50 mph.

The NYC Parks Department reported 169 downed trees in Queens, 98 downed trees in Brooklyn, 27 downed trees in Staten Island, 22 downed trees in Manhattan, and 19 downed trees in the Bronx.  The NYC Office of Emergency Management logged 335 telephone calls in response to downed trees, downed limbs, and hanging limbs across the 5 boroughs of New York City.

A trained spotter in Suffolk County reported several downed tree limbs along with a utility pole snapped in half just west of the Route 25A and Edwards Avenue intersection in Baiting Hollow.",2
78360,KINGS (BROOKLYN) (ZONE), ,01/30/2008,1000,Strong Wind,40.00, ,1,1,0,0,NY,EST-5,EG,13951,Z,75,OKX,0,0,Emergency Manager, , , , , , , , , , , , ,"Strong winds caused a scaffold to collapse, killing one person and injuring another.","Gusty west to northwest winds behind a cold front downed isolated trees, over turned a tractor trailer, and caused scaffolding to collapse, killing one person and injuring another in New York City.",3
78361,KINGS (BROOKLYN) (ZONE), ,01/30/2008,1439,Strong Wind,46.00, ,0,0,2000,0,NY,EST-5,EG,13951,Z,75,OKX,0,0,Emergency Manager, , , , , , , , , , , , ,"A cinder block wall collapsed, causing minor damage to an adjacent building.","Gusty west to northwest winds behind a cold front downed isolated trees, over turned a tractor trailer, and caused scaffolding to collapse, killing one person and injuring another in New York City.",4
201129,KINGS (BROOKLYN) (ZONE), ,10/07/2009,1118,Strong Wind,45.00, ,0,0,5000,0,NY,EST-5,EG,34873,Z,75,OKX,0,0,Newspaper, , , , , , , , , , , , ,"Strong winds downed trees and tree limbs in parts of the Williamsburg and Gravesend sections of Brooklyn.  In Bensonhurst, a tree fell on a house on 21st Avenue that caused structural damage.  Parts of Dyker Heights reported power failures.","Following the passage of a strong cold front, strong west winds developed.  Peak gusts ranged from around 45 mph to 55 mph and caused scattered power outages.",5
211892,KINGS (BROOKLYN) (ZONE), ,01/03/2010,800,Strong Wind,41.00, ,0,0,5000,0,NY,EST-5,EG,36548,Z,75,OKX,0,0,ASOS, , , , , , , , , , , , ,"Strong northwest winds behind deep low pressure over the western Atlantic Ocean ripped scores of bricks from a building on Pacific Steet in Brooklyn NY.  No one was injured.","Deep low pressure over the western Atlantic Ocean resulted in a prolonged period of strong northwest winds.",6
269671,KINGS (BROOKLYN) (ZONE), ,11/17/2010,1400,Strong Wind,45.00, ,0,1,750,0,NY,EST-5,MG,46522,Z,75,OKX,0,0,Newspaper, , , , , , , , , , , , ,"Based on a news story from the Daily News:  FIERCE winds ripped a 20-foot-long branch from aa tree in Brooklyn, sending it plunging to the ground where it struck and critically injured a young woman.  The branch fell from East Seventh street just after 2 pm.||Peak wind gusts of 52 mph was measured at John F. Kennedy Airport, 51 mph at La Guardia Airport, 48 mph at Farmingdale Airport, and 47 mph at Bayville.","As a strong cold front moved east of the area, strong northwest winds developed.  Peak wind gusts ranged from around 40 to 55 mph.",7
613462,KINGS (BROOKLYN) (ZONE), ,02/24/2016,2000,Strong Wind,48.00, ,0,0,100000,0,NY,EST-5,EG,102635,Z,75,OKX,0,0,Emergency Manager, , , , , , , , , , , , ,"Emergency management reported a sidewalk shed collapsed on Scholes Street at the Williamsburg House. This occurred at 942 pm.","Strong winds occurred behind a warm front and ahead of a cold front.",8
620451,KINGS (BROOKLYN) (ZONE), ,03/28/2016,1700,Strong Wind,45.00, ,0,1,200000,0,NY,EST-5,MG,103779,Z,75,OKX,0,0,Fire Department/Rescue, , , , , , , , , , , , ,"A pedestrain was struck and injured by a piece of flying wood near a construction site at 8th Avenue and 56th Street in Sunset Park at 6 pm.  At 8 pm, a tree was knocked down onto power lines near 27th Street and Avenue P in Marine Park.","Strong Winds occurred behind deepening low pressure.",9
685216,KINGS (BROOKLYN) (ZONE), ,03/22/2017,900,Strong Wind,33.00, ,0,0,50000,0,NY,EST-5,MS,114349,Z,75,OKX,0,0,Mesonet, , , , , , , , , , , , ,"A measured sustained wind of 38 mph was reported at 1214 pm in Bay Ridge, 329 pm near Bay Ridge. Near Flatbush, 37 mph sustained winds occurred at 214 pm. These wind speeds were measured by mesonet stations.","Gusty northwest winds occurred behind deep low pressure and strong cold front.",10
727648,KINGS (BROOKLYN) (ZONE), ,12/25/2017,800,Strong Wind,48.00, ,0,0,50000,0,NY,EST-5,EG,121569,Z,75,OKX,0,0,Newspaper, , , , , , , , , , , , ,"At 9 am, a car was damaged by flying scaffolding on Brooklyn Avenue near Dean Street in Crown Heights due to the strong winds. At 11 am, a tree fell onto a car at East 17th Street and Avenue P in Midwood. Local newspaper reported both events.","Strong winds developed behind deepening low pressure and a cold front.",11
784050,KINGS (BROOKLYN) (ZONE), ,10/27/2018,900,Strong Wind,43.00, ,0,0,10000,0,NY,EST-5,MG,131066,Z,75,OKX,0,0,Mesonet, , , , , , , , , , , , ,"A mesonet station reported a 50 mph wind gust at 955 am near Rockaway Beach.","A coastal storm moved to the east of the area.",12
803557,KINGS (BROOKLYN) (ZONE), ,01/21/2019,1500,Strong Wind,43.00, ,0,0,10000,0,NY,EST-5,MG,134176,Z,75,OKX,0,0,Mesonet, , , , , , , , , , , , ,"The New York State Mesonet station in Flatbush measured a 50 mph wind gust at 445 pm.","Deep low pressure tracked to the northeast of the area.",13
803608,KINGS (BROOKLYN) (ZONE), ,01/24/2019,1000,Strong Wind,30.00, ,0,0,10000,0,NY,EST-5,MS,134181,Z,75,OKX,0,0,Mesonet, , , , , , , , , , , , ,"A mesonet station near Bay Ridge measured a 34 mph sustained wind at 1054 am.","Strong winds occurred ahead of and behind low pressure and a cold front.",14
803633,KINGS (BROOKLYN) (ZONE), ,01/30/2019,1800,Strong Wind,34.00, ,0,0,10000,0,NY,EST-5,MS,134193,Z,75,OKX,0,0,Mesonet, , , , , , , , , , , , ,"A mesonet station in Bay Ridge measured a sustained wind of 39 mph at 635 pm, and another station 1 mile to the east, northeast of Bay Ridge measured a 39 mph sustained wind at 628 pm.","Strong winds occurred behind low pressure and cold front.",15
865333,KINGS (BROOKLYN) (ZONE), ,11/01/2019,0,Strong Wind,49.00, ,0,0,100000,0,NY,EST-5,EG,144149,Z,75,OKX,0,0,Public, , , , , , , , , , , , ,"The public reported down powerlines in Coney Island. These downed powerlines caught fire near 25th Avenue and the Belt Parkway around 1241 am.","Strong winds occurred behind low pressure and strong cold front.",16
