EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
483730,NORTHERN NASSAU (ZONE), ,11/24/2013,900,Strong Wind,47.00, ,0,0,10000,0,NY,EST-5,EG,80807,Z,177,OKX,0,0,Fire Department/Rescue, , , , , , , , , , , , ,"Strong winds knocked down a large tree around 10 am. The tree downed power lines that blocked Crescent Beach Road by Welwyn Preserve. Bayville reported a wind gust up to 54 mph at 11:17 am.","Strong and gusty northwest winds occurred behind a cold front.",1
483734,NORTHERN NASSAU (ZONE), ,11/27/2013,500,Strong Wind,49.00, ,0,0,10000,0,NY,EST-5,EG,80810,Z,177,OKX,0,0,Trained Spotter, , , , , , , , , , , , ,"At 6:17 am, a trained spotter reported a wind gust up to 56 mph in Jericho.","Strong southerly winds in the morning ahead of a cold front shifted to the west.",2
509760,SOUTHERN NASSAU (ZONE), ,04/15/2014,1200,Strong Wind,41.00, ,0,0,50000,0,NY,EST-5,MG,84435,Z,179,OKX,0,0,Emergency Manager, , , , , , , , , , , , ,"At 1:51 pm, the Long Island Office of Emergency Management reported 575 customers without power in North Merrick due to strong winds.  Farmingdale Airport reported wind gusts to 41 kots around that time.","Strong southerly winds ahead of a cold front occurred across parts of Nassau and Southwest Suffolk Counties on Long Island.",3
509725,NORTHERN NASSAU (ZONE), ,04/15/2014,1200,Strong Wind,41.00, ,0,0,50000,0,NY,EST-5,MG,84435,Z,177,OKX,0,0,Emergency Manager, , , , , , , , , , , , ,"At 1:34 pm, the Long Island Office of Emergency Management reported 661 customers without power in Centre Island due to strong winds.  Farmingdale Airport reported wind gusts to 41 knots around that time.","Strong southerly winds ahead of a cold front occurred across parts of Nassau and Southwest Suffolk Counties on Long Island.",4
554625,NORTHERN NASSAU (ZONE), ,02/15/2015,1400,Strong Wind,33.00, ,0,0,10000,0,NY,EST-5,MS,92568,Z,177,OKX,0,0,Mesonet, , , , , , , , , , , , ,"The mesonet station at Bayville reported sustained winds of 38 mph at 3:51 pm.","An area of low pressure deepened as it tracked to the northeast of the local region resulting in strong winds.",5
570918,SOUTHERN NASSAU (ZONE), ,04/04/2015,1200,Strong Wind,30.00, ,0,0,10000,0,NY,EST-5,MS,94970,Z,179,OKX,0,0,Mesonet, , , , , , , , , , , , ,"Sustained winds of 35 mph were measured at a mesonet station near Point Lookout at 1:24 pm.","Strong northwest winds occurred behind a cold front.",6
619205,SOUTHERN NASSAU (ZONE), ,02/16/2016,1300,Strong Wind,47.00, ,0,0,20000,0,NY,EST-5,MG,103601,Z,179,OKX,0,0,Mesonet, , , , , , , , , , , , ,"At Atlantic Beach, a wind gust to 54 mph was reported at 250 pm.","Strong to isolated high winds occurred ahead of an area of low pressure and associated frontal boundary.",7
613451,SOUTHERN NASSAU (ZONE), ,02/24/2016,2000,Strong Wind,47.00, ,0,0,100000,0,NY,EST-5,EG,102635,Z,179,OKX,0,0,Trained Spotter, , , , , , , , , , , , ,"A trained spotter in Merrick reported a wind gust to 54 mph at 625 am on 2/25. At Republic Airport, winds of 53 mph were reported at 1215 am on the 25th. In East Meadow, trees and wires were knocked down due to the winds at Prospect Avenue near York Street and Devon Street at 9 pm on 2/24.","Strong winds occurred behind a warm front and ahead of a cold front.",8
662971,NORTHERN NASSAU (ZONE), ,11/21/2016,2000,Strong Wind,45.00, ,0,0,50000,0,NY,EST-5,MG,111139,Z,177,OKX,0,0,Mesonet, , , , , , , , , , , , ,"A wind gust up to 52 mph was measured near Glen Cove at 9:33 pm.","Strong winds occurred behind a deepening area of low pressure.",9
662994,NORTHERN NASSAU (ZONE), ,12/15/2016,800,Strong Wind,44.00, ,0,0,50000,0,NY,EST-5,MG,111143,Z,177,OKX,0,0,Mesonet, , , , , , , , , , , , ,"At 944 am, a wind gust to 51 mph was measured near Glen Cove.","Strong winds occurred behind a deep area of low pressure.",10
