EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
204982,HAMILTON (ZONE), ,01/29/2010,0,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,35441,Z,33,ALY,0,0,Mesonet, , , , , , , , , , , , ,"","The combination of brisk winds and cold temperatures, below zero, late Thursday night, January 28th, through Friday morning, January 29th, produced wind chills of around -30 F across the southern Adirondacks.",1
204983,NORTHERN HERKIMER (ZONE), ,01/29/2010,0,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,35441,Z,32,ALY,0,0,Mesonet, , , , , , , , , , , , ,"","The combination of brisk winds and cold temperatures, below zero, late Thursday night, January 28th, through Friday morning, January 29th, produced wind chills of around -30 F across the southern Adirondacks.",2
204984,NORTHERN WARREN (ZONE), ,01/29/2010,0,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,35441,Z,42,ALY,0,0,Mesonet, , , , , , , , , , , , ,"","The combination of brisk winds and cold temperatures, below zero, late Thursday night, January 28th, through Friday morning, January 29th, produced wind chills of around -30 F across the southern Adirondacks.",3
204976,HAMILTON (ZONE), ,01/29/2010,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,35438,Z,33,ALY,0,0,Mesonet, , , , , , , , , , , , ,"","The combination of very cold temperatures, well below zero, and winds of 5 to 10 mph Friday night, January 29th, into Saturday morning, January 30th, produced wind chills of -30 to -35 F across the southern Adirondacks.",4
204977,NORTHERN HERKIMER (ZONE), ,01/29/2010,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,35438,Z,32,ALY,0,0,Mesonet, , , , , , , , , , , , ,"","The combination of very cold temperatures, well below zero, and winds of 5 to 10 mph Friday night, January 29th, into Saturday morning, January 30th, produced wind chills of -30 to -35 F across the southern Adirondacks.",5
204978,NORTHERN WARREN (ZONE), ,01/29/2010,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,35438,Z,42,ALY,0,0,Mesonet, , , , , , , , , , , , ,"","The combination of very cold temperatures, well below zero, and winds of 5 to 10 mph Friday night, January 29th, into Saturday morning, January 30th, produced wind chills of -30 to -35 F across the southern Adirondacks.",6
204979,NORTHERN FULTON (ZONE), ,01/29/2010,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,35438,Z,82,ALY,0,0,Mesonet, , , , , , , , , , , , ,"","The combination of very cold temperatures, well below zero, and winds of 5 to 10 mph Friday night, January 29th, into Saturday morning, January 30th, produced wind chills of -30 to -35 F across the southern Adirondacks.",7
277450,SOUTHERN WASHINGTON (ZONE), ,01/23/2011,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,47598,Z,84,ALY,0,0,COOP Observer, , , , , , , , , , , , ,"","Bitterly cold air settled into the region as Canadian high pressure built in. Temperatures plummeted to 5 to 30 degrees below zero across east central New York. Brisk westerly winds diminished during the evening, becoming light and variable to calm after midnight. The winds resulted in wind chill readings of 10 to 40 degrees below zero.||Numerous schools were closed or had delayed starts across east central New York due to the extreme cold. ||Amtrak temporarily suspended service between Albany and New York City because the extreme cold caused some signals, switches and equipment to freeze.",8
277434,SOUTHERN FULTON (ZONE), ,01/23/2011,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,47598,Z,39,ALY,0,0,COOP Observer, , , , , , , , , , , , ,"","Bitterly cold air settled into the region as Canadian high pressure built in. Temperatures plummeted to 5 to 30 degrees below zero across east central New York. Brisk westerly winds diminished during the evening, becoming light and variable to calm after midnight. The winds resulted in wind chill readings of 10 to 40 degrees below zero.||Numerous schools were closed or had delayed starts across east central New York due to the extreme cold. ||Amtrak temporarily suspended service between Albany and New York City because the extreme cold caused some signals, switches and equipment to freeze.",9
277435,MONTGOMERY (ZONE), ,01/23/2011,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,47598,Z,40,ALY,0,0,Broadcast Media, , , , , , , , , , , , ,"","Bitterly cold air settled into the region as Canadian high pressure built in. Temperatures plummeted to 5 to 30 degrees below zero across east central New York. Brisk westerly winds diminished during the evening, becoming light and variable to calm after midnight. The winds resulted in wind chill readings of 10 to 40 degrees below zero.||Numerous schools were closed or had delayed starts across east central New York due to the extreme cold. ||Amtrak temporarily suspended service between Albany and New York City because the extreme cold caused some signals, switches and equipment to freeze.",10
277441,SOUTHERN SARATOGA (ZONE), ,01/23/2011,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,47598,Z,50,ALY,0,0,COOP Observer, , , , , , , , , , , , ,"","Bitterly cold air settled into the region as Canadian high pressure built in. Temperatures plummeted to 5 to 30 degrees below zero across east central New York. Brisk westerly winds diminished during the evening, becoming light and variable to calm after midnight. The winds resulted in wind chill readings of 10 to 40 degrees below zero.||Numerous schools were closed or had delayed starts across east central New York due to the extreme cold. ||Amtrak temporarily suspended service between Albany and New York City because the extreme cold caused some signals, switches and equipment to freeze.",11
277443,EASTERN SCHENECTADY (ZONE), ,01/23/2011,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,47598,Z,49,ALY,0,0,COOP Observer, , , , , , , , , , , , ,"","Bitterly cold air settled into the region as Canadian high pressure built in. Temperatures plummeted to 5 to 30 degrees below zero across east central New York. Brisk westerly winds diminished during the evening, becoming light and variable to calm after midnight. The winds resulted in wind chill readings of 10 to 40 degrees below zero.||Numerous schools were closed or had delayed starts across east central New York due to the extreme cold. ||Amtrak temporarily suspended service between Albany and New York City because the extreme cold caused some signals, switches and equipment to freeze.",12
277449,NORTHERN WASHINGTON (ZONE), ,01/23/2011,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,47598,Z,43,ALY,0,0,COOP Observer, , , , , , , , , , , , ,"","Bitterly cold air settled into the region as Canadian high pressure built in. Temperatures plummeted to 5 to 30 degrees below zero across east central New York. Brisk westerly winds diminished during the evening, becoming light and variable to calm after midnight. The winds resulted in wind chill readings of 10 to 40 degrees below zero.||Numerous schools were closed or had delayed starts across east central New York due to the extreme cold. ||Amtrak temporarily suspended service between Albany and New York City because the extreme cold caused some signals, switches and equipment to freeze.",13
277442,WESTERN SCHENECTADY (ZONE), ,01/23/2011,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,47598,Z,48,ALY,0,0,COOP Observer, , , , , , , , , , , , ,"","Bitterly cold air settled into the region as Canadian high pressure built in. Temperatures plummeted to 5 to 30 degrees below zero across east central New York. Brisk westerly winds diminished during the evening, becoming light and variable to calm after midnight. The winds resulted in wind chill readings of 10 to 40 degrees below zero.||Numerous schools were closed or had delayed starts across east central New York due to the extreme cold. ||Amtrak temporarily suspended service between Albany and New York City because the extreme cold caused some signals, switches and equipment to freeze.",14
277452,SCHOHARIE (ZONE), ,01/23/2011,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,47598,Z,47,ALY,0,0,COOP Observer, , , , , , , , , , , , ,"","Bitterly cold air settled into the region as Canadian high pressure built in. Temperatures plummeted to 5 to 30 degrees below zero across east central New York. Brisk westerly winds diminished during the evening, becoming light and variable to calm after midnight. The winds resulted in wind chill readings of 10 to 40 degrees below zero.||Numerous schools were closed or had delayed starts across east central New York due to the extreme cold. ||Amtrak temporarily suspended service between Albany and New York City because the extreme cold caused some signals, switches and equipment to freeze.",15
277453,WESTERN ALBANY (ZONE), ,01/23/2011,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,47598,Z,51,ALY,0,0,COOP Observer, , , , , , , , , , , , ,"","Bitterly cold air settled into the region as Canadian high pressure built in. Temperatures plummeted to 5 to 30 degrees below zero across east central New York. Brisk westerly winds diminished during the evening, becoming light and variable to calm after midnight. The winds resulted in wind chill readings of 10 to 40 degrees below zero.||Numerous schools were closed or had delayed starts across east central New York due to the extreme cold. ||Amtrak temporarily suspended service between Albany and New York City because the extreme cold caused some signals, switches and equipment to freeze.",16
277454,EASTERN ALBANY (ZONE), ,01/23/2011,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,47598,Z,52,ALY,0,0,COOP Observer, , , , , , , , , , , , ,"","Bitterly cold air settled into the region as Canadian high pressure built in. Temperatures plummeted to 5 to 30 degrees below zero across east central New York. Brisk westerly winds diminished during the evening, becoming light and variable to calm after midnight. The winds resulted in wind chill readings of 10 to 40 degrees below zero.||Numerous schools were closed or had delayed starts across east central New York due to the extreme cold. ||Amtrak temporarily suspended service between Albany and New York City because the extreme cold caused some signals, switches and equipment to freeze.",17
277456,WESTERN RENSSELAER (ZONE), ,01/23/2011,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,47598,Z,53,ALY,0,0,COOP Observer, , , , , , , , , , , , ,"","Bitterly cold air settled into the region as Canadian high pressure built in. Temperatures plummeted to 5 to 30 degrees below zero across east central New York. Brisk westerly winds diminished during the evening, becoming light and variable to calm after midnight. The winds resulted in wind chill readings of 10 to 40 degrees below zero.||Numerous schools were closed or had delayed starts across east central New York due to the extreme cold. ||Amtrak temporarily suspended service between Albany and New York City because the extreme cold caused some signals, switches and equipment to freeze.",18
277457,EASTERN RENSSELAER (ZONE), ,01/23/2011,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,47598,Z,54,ALY,0,0,COOP Observer, , , , , , , , , , , , ,"","Bitterly cold air settled into the region as Canadian high pressure built in. Temperatures plummeted to 5 to 30 degrees below zero across east central New York. Brisk westerly winds diminished during the evening, becoming light and variable to calm after midnight. The winds resulted in wind chill readings of 10 to 40 degrees below zero.||Numerous schools were closed or had delayed starts across east central New York due to the extreme cold. ||Amtrak temporarily suspended service between Albany and New York City because the extreme cold caused some signals, switches and equipment to freeze.",19
277459,EASTERN GREENE (ZONE), ,01/23/2011,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,47598,Z,59,ALY,0,0,COOP Observer, , , , , , , , , , , , ,"","Bitterly cold air settled into the region as Canadian high pressure built in. Temperatures plummeted to 5 to 30 degrees below zero across east central New York. Brisk westerly winds diminished during the evening, becoming light and variable to calm after midnight. The winds resulted in wind chill readings of 10 to 40 degrees below zero.||Numerous schools were closed or had delayed starts across east central New York due to the extreme cold. ||Amtrak temporarily suspended service between Albany and New York City because the extreme cold caused some signals, switches and equipment to freeze.",20
277460,WESTERN DUTCHESS (ZONE), ,01/23/2011,1800,Cold/Wind Chill, , ,0,0,0,0,NY,EST-5, ,47598,Z,65,ALY,0,0,COOP Observer, , , , , , , , , , , , ,"","Bitterly cold air settled into the region as Canadian high pressure built in. Temperatures plummeted to 5 to 30 degrees below zero across east central New York. Brisk westerly winds diminished during the evening, becoming light and variable to calm after midnight. The winds resulted in wind chill readings of 10 to 40 degrees below zero.||Numerous schools were closed or had delayed starts across east central New York due to the extreme cold. ||Amtrak temporarily suspended service between Albany and New York City because the extreme cold caused some signals, switches and equipment to freeze.",21
