EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5561723,ORANGE (ZONE), ,1/7/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040518,Z,67,OKX,0,0, , , , , , , , , , , , , ,,,1
5561728,NEW YORK (MANHATTAN) (ZONE), ,1/7/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040523,Z,72,OKX,0,0, , , , , , , , , , , , , ,,,2
5561727,SOUTHERN WESTCHESTER (ZONE), ,1/7/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040522,Z,71,OKX,0,0, , , , , , , , , , , , , ,,,3
5561726,NORTHERN WESTCHESTER (ZONE), ,1/7/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040521,Z,70,OKX,0,0, , , , , , , , , , , , , ,,,4
5561725,ROCKLAND (ZONE), ,1/7/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040520,Z,69,OKX,0,0, , , , , , , , , , , , , ,,,5
5561737,SOUTHEAST SUFFOLK (ZONE), ,1/7/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040532,Z,81,OKX,0,0, , , , , , , , , , , , , ,,,6
5561736,SOUTHWEST SUFFOLK (ZONE), ,1/7/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040531,Z,80,OKX,0,0, , , , , , , , , , , , , ,,"A storm of historic proportion moved northeast across the region.  Extremely heavy snow accompanied this storm.  Snowfall totals ranged from 19 to 28 inches.  For some areas, this was a record snowfall.  The heavy snow combined with strong winds to create blizzard conditions for several hours.  All forms of transportation were crippled.  All area airports were closed, some for a couple of days.  Hundreds of Millions of dollars were spent for snow removal.  Millions of dollars were lost for area businesses that had to close.  Schools were closed throughout the region.  Several people were injured during the next several days as numerous roofs collapsed due to the extremely heavy load of snow.  A state of emergency was declared for this storm that was dubbed the BLIZZARD OF '96.",7
5561735,NORTHEAST SUFFOLK (ZONE), ,1/7/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040530,Z,79,OKX,0,0, , , , , , , , , , , , , ,,,8
5561734,NORTHWEST SUFFOLK (ZONE), ,1/7/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040529,Z,78,OKX,0,0, , , , , , , , , , , , , ,,,9
5561733,NASSAU (ZONE), ,1/7/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040528,Z,77,OKX,0,0, , , , , , , , , , , , , ,,,10
5561732,QUEENS (ZONE), ,1/7/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040527,Z,76,OKX,0,0, , , , , , , , , , , , , ,,,11
5561731,KINGS (BROOKLYN) (ZONE), ,1/7/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040526,Z,75,OKX,0,0, , , , , , , , , , , , , ,,,12
5561730,RICHMOND (STATEN IS.) (ZONE), ,1/7/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040525,Z,74,OKX,0,0, , , , , , , , , , , , , ,,,13
5561729,BRONX (ZONE), ,1/7/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040524,Z,73,OKX,0,0, , , , , , , , , , , , , ,,,14
5561724,PUTNAM (ZONE), ,1/7/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040519,Z,68,OKX,0,0, , , , , , , , , , , , , ,,,15
5691858,WAYNE (ZONE), ,3/4/1999,1100,Blizzard, , ,0,0,1000000,0,NY,EST, ,1502553,Z,4,BUF,0,0,TRAINED SPOTTER, , , , , , , , , , , , ,,"Deep low pressure moved from West Virginia north across New York to Quebec, Canada. Heavy rain changed to heavy snow as cold air circulated into the region. Snow  fell at the rate of two to three inches per hour. Across Monroe and Wayne counties snowfall amounts were greatest with over two feet falling. Snow fall amounts dropped off both east and west of that area. The strong winds off Lake Ontario resulted in blizzard conditions over Monroe and Wayne counties for nearly six hours. Drifts reached four to five feet in places. The New York State Thruway (I-90) was closed from Depew to Syracuse. Several hundred cars were stranded in the closed section. The Governor declared Monroe, Wayne, Oswego, Wyoming, Livingston, and Cayuga counties State Disaster Areas. Orleans, Ontario, Wyoming, Livingston, Monroe and Wayne counties were also declared Federal Disaster Areas. The National Guard was called on to help remove cars, rescue stranded motorists and deliver food and medical supplies. Schools and businesses were closed throughout the area. Nearly 10,000 customers lost power during the storm.  Specific snowfall reports included: Hamlin 28; Perinton and Fairport 26""; Penfield 25""'; Ontario and Rochester Airport 24""; Walworth 23""; Victor 22""; Greece and Webster 20"";  Portageville 17""; Palmyra", Canandaigua
5691857,MONROE (ZONE), ,3/4/1999,1100,Blizzard, , ,0,0,1500000,0,NY,EST, ,1502553,Z,3,BUF,0,0,TRAINED SPOTTER, , , , , , , , , , , , ,,"Deep low pressure moved from West Virginia north across New York to Quebec, Canada. Heavy rain changed to heavy snow as cold air circulated into the region. Snow  fell at the rate of two to three inches per hour. Across Monroe and Wayne counties snowfall amounts were greatest with over two feet falling. Snow fall amounts dropped off both east and west of that area. The strong winds off Lake Ontario resulted in blizzard conditions over Monroe and Wayne counties for nearly six hours. Drifts reached four to five feet in places. The New York State Thruway (I-90) was closed from Depew to Syracuse. Several hundred cars were stranded in the closed section. The Governor declared Monroe, Wayne, Oswego, Wyoming, Livingston, and Cayuga counties State Disaster Areas. Orleans, Ontario, Wyoming, Livingston, Monroe and Wayne counties were also declared Federal Disaster Areas. The National Guard was called on to help remove cars, rescue stranded motorists and deliver food and medical supplies. Schools and businesses were closed throughout the area. Nearly 10,000 customers lost power during the storm.  Specific snowfall reports included: Hamlin 28; Perinton and Fairport 26""; Penfield 25""'; Ontario and Rochester Airport 24""; Walworth 23""; Victor 22""; Greece and Webster 20"";  Portageville 17""; Palmyra", Canandaigua
5329163,NASSAU (ZONE), ,12/6/2003,1300,Blizzard, , ,0,0,0,0,NY,EST, ,1165251,Z,77,OKX,0,0,AWOS,,,, , , , , , , , , , , , 
5329164,NORTHWEST SUFFOLK (ZONE), ,12/6/2003,1300,Blizzard, , ,0,0,0,0,NY,EST, ,1165251,Z,78,OKX,0,0,AWOS,,,, , , , , , , , , , , , 
5329166,NORTHEAST SUFFOLK (ZONE), ,12/6/2003,1400,Blizzard, , ,0,0,0,0,NY,EST, ,1165251,Z,79,OKX,0,0,AWOS,,,, , , , , , , , , , , , 
5329167,SOUTHEAST SUFFOLK (ZONE), ,12/6/2003,1400,Blizzard, , ,0,0,0,0,NY,EST, ,1165251,Z,81,OKX,0,0,AWOS,,,, , , , , , , , , , , , 
5329162,QUEENS (ZONE), ,12/6/2003,1500,Blizzard, , ,0,0,0,0,NY,EST, ,1165251,Z,76,OKX,0,0,AWOS,,,, , , , , , , , , , , , 
5434998,EASTERN ULSTER (ZONE), ,1/23/2005,0,Blizzard, , ,0,0,0,0,NY,EST, ,1184226,Z,64,ALY,0,0,EMERGENCY MANAGER, , , , , , , , , , , , ,Widespread whiteout conditions noted across the county.,,24
5434999,WESTERN COLUMBIA (ZONE), ,1/23/2005,0,Blizzard, , ,0,0,0,0,NY,EST, ,1184227,Z,60,ALY,0,0,EMERGENCY MANAGER, , , , , , , , , , , , ,"Widespread drifting, with difficulty in plowing roads, mainly in the southern half of county.  State of Emergency declared.",,25
5435000,WESTERN SCHENECTADY (ZONE), ,1/23/2005,0,Blizzard, , ,0,0,0,0,NY,EST, ,1184228,Z,48,ALY,0,0,TRAINED SPOTTER, , , , , , , , , , , , ,Widespread whiteout conditions observed in western part of the county.,,26
5435002,SOUTHERN SARATOGA (ZONE), ,1/23/2005,130,Blizzard, , ,0,0,0,0,NY,EST, ,1184230,Z,50,ALY,0,0,TRAINED SPOTTER, , , , , , , , , , , , ,Average snowfall accumlation 12.0 inches. Whiteout conditions reported with sustained winds to 35 mph producting drifts up to 4 feet.,"
A low pressure area, moving over western Pennsylvania, deepened early on January 22 as it moved into an arctic air mass. A secondary surface low rapidly developed off the coast of Virginia, tracking northeast along eastern seaboard, reaching south of Long Island by late on January 22. This storm developed into a major nor'easter which continued to strengthen as it moved east of Cape Cod by the morning of the 23rd.   Powdery snowfall amounts in Eastern NY and adjacent Western New England averaged around a foot in depth.  Strong winds, up to 35 mph, blew and drifted the powdery snow and resulted in blizzard conditions in Saratoga, Eastern Ulster, Western Schenectady, and Western Columbia Counties as well as the higher terrain of Bennington County in southern Vermont. Drifts up to four feet were reported in outlying areas of these counties. The highest snowfall associated with the snow reported, was 19 inches in Jewitt, Greene County. Officially, at the National Weather Service in Albany, 11.5 inches of  snow fell.",27
218024,NORTHWEST SUFFOLK (ZONE), ,12/19/2009,2300,Blizzard, , ,0,0,0,0,NY,EST-5, ,35979,Z,78,OKX,0,0,Official NWS Observations, , , , , , , , , , , , ,,Coastal low pressure rapidly intensified Saturday night as it tracked northeast from off the Delmarva Coast...just southeast of the 40N/70W benchmark���and to southeast of Cape Cod by Sunday morning. This was in response to a powerful upper low approaching and then crossing south of the area. The track of low pressure to the southeast of the region and stubborn placement of arctic high pressure over the Northern US Plains and Southern Canadian Plains...ridging eastward...made for the ideal setup for heavy snow across most of the region. The rapid intensification of low pressure created blizzard or near blizzard conditions over Long Island for several hours with northeast winds of 15 to 25 mph and gusts 35 to 45 mph���and visibilities below �� mile. Near whiteout conds were experienced across Suffolk County during the height of the storm. Snowfall rates of 2 to 4 inches per hour occurred with an intense mesoscale band that developed S of the region���pivoted northwest into West/Central Long Island���and then slowly pulled east through the overnight. Snow totals increased rapidly from northwest to southeast across the region...with 3 to 6 inches across Orange County���around 1 ft across the NYC metro���and around 2 ft across Suffolk County.,28
