EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5128011,PUTNAM (ZONE), ,1/17/2000,0,Extreme Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,1090039,Z,68,OKX,0,0,BROADCAST MEDIA,,,, , , , , , , , , ,,"
An arctic cold front swept across the region during Sunday afternoon, January 16th.  Strong and gusty northwest winds combined with well below normal temperatures and produced extremely low wind chill values mainly from midnight to 10 am on January 17th and from 1 am to noon on January 18th.

On January 17th, wind speeds from 15 to 20 mph combined with temperatures from 5 to 10 degrees above 0, produced wind chill values from 15 to around 20 degrees below 0 in New York City and from 20 to 30 degrees below 0 across the Lower Hudson Valley.

On January 18th, wind speeds averaging 15 mph combined with temperatures from 0 to 5 above zero, produced wind chill values from 20 degrees below 0 at Central Park to 30 degrees below 0 at LaGuardia Airport.  Wind chills across the Lower Hudson Valley were 30 to 35 degrees below 0.

All 3 people in New York City died from exposure to extremely low wind chill values and extremely cold temperatures, as follows:

o	A homeless man from Sheepshead Bay in Brooklyn was found dead outdoors. 

o	A homeless man from Queens was found dead in a car.

o	A woman was found dead on the roof of a hospital.
	She wandered outdoors and was found near a door which led to the roof.",1
5128010,ORANGE (ZONE), ,1/17/2000,0,Extreme Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,1090039,Z,67,OKX,0,0,AWOS,,,, , , , , , , , , , , , 
5128014,SOUTHERN WESTCHESTER (ZONE), ,1/17/2000,100,Extreme Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,1090039,Z,71,OKX,0,0,AWOS,,,, , , , , , , , , , , , 
5128013,NORTHERN WESTCHESTER (ZONE), ,1/17/2000,100,Extreme Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,1090039,Z,70,OKX,0,0,BROADCAST MEDIA,,,, , , , , , , , , ,,"
An arctic cold front swept across the region during Sunday afternoon, January 16th.  Strong and gusty northwest winds combined with well below normal temperatures and produced extremely low wind chill values mainly from midnight to 10 am on January 17th and from 1 am to noon on January 18th.

On January 17th, wind speeds from 15 to 20 mph combined with temperatures from 5 to 10 degrees above 0, produced wind chill values from 15 to around 20 degrees below 0 in New York City and from 20 to 30 degrees below 0 across the Lower Hudson Valley.

On January 18th, wind speeds averaging 15 mph combined with temperatures from 0 to 5 above zero, produced wind chill values from 20 degrees below 0 at Central Park to 30 degrees below 0 at LaGuardia Airport.  Wind chills across the Lower Hudson Valley were 30 to 35 degrees below 0.

All 3 people in New York City died from exposure to extremely low wind chill values and extremely cold temperatures, as follows:

o	A homeless man from Sheepshead Bay in Brooklyn was found dead outdoors. 

o	A homeless man from Queens was found dead in a car.

o	A woman was found dead on the roof of a hospital.
	She wandered outdoors and was found near a door which led to the roof.",4
5128012,ROCKLAND (ZONE), ,1/17/2000,100,Extreme Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,1090039,Z,69,OKX,0,0,BROADCAST MEDIA,,,, , , , , , , , , ,,"
An arctic cold front swept across the region during Sunday afternoon, January 16th.  Strong and gusty northwest winds combined with well below normal temperatures and produced extremely low wind chill values mainly from midnight to 10 am on January 17th and from 1 am to noon on January 18th.

On January 17th, wind speeds from 15 to 20 mph combined with temperatures from 5 to 10 degrees above 0, produced wind chill values from 15 to around 20 degrees below 0 in New York City and from 20 to 30 degrees below 0 across the Lower Hudson Valley.

On January 18th, wind speeds averaging 15 mph combined with temperatures from 0 to 5 above zero, produced wind chill values from 20 degrees below 0 at Central Park to 30 degrees below 0 at LaGuardia Airport.  Wind chills across the Lower Hudson Valley were 30 to 35 degrees below 0.

All 3 people in New York City died from exposure to extremely low wind chill values and extremely cold temperatures, as follows:

o	A homeless man from Sheepshead Bay in Brooklyn was found dead outdoors. 

o	A homeless man from Queens was found dead in a car.

o	A woman was found dead on the roof of a hospital.
	She wandered outdoors and was found near a door which led to the roof.",5
5127570,KINGS (BROOKLYN) (ZONE), ,1/17/2000,200,Extreme Cold/Wind Chill, , ,1,0,0,0,NY,EST, ,1090039,Z,75,OKX,0,0,BROADCAST MEDIA,,,, , , , , , , , , ,,"
An arctic cold front swept across the region during Sunday afternoon, January 16th.  Strong and gusty northwest winds combined with well below normal temperatures and produced extremely low wind chill values mainly from midnight to 10 am on January 17th and from 1 am to noon on January 18th.

On January 17th, wind speeds from 15 to 20 mph combined with temperatures from 5 to 10 degrees above 0, produced wind chill values from 15 to around 20 degrees below 0 in New York City and from 20 to 30 degrees below 0 across the Lower Hudson Valley.

On January 18th, wind speeds averaging 15 mph combined with temperatures from 0 to 5 above zero, produced wind chill values from 20 degrees below 0 at Central Park to 30 degrees below 0 at LaGuardia Airport.  Wind chills across the Lower Hudson Valley were 30 to 35 degrees below 0.

All 3 people in New York City died from exposure to extremely low wind chill values and extremely cold temperatures, as follows:

o	A homeless man from Sheepshead Bay in Brooklyn was found dead outdoors. 

o	A homeless man from Queens was found dead in a car.

o	A woman was found dead on the roof of a hospital.
	She wandered outdoors and was found near a door which led to the roof.",6
5127571,BRONX (ZONE), ,1/17/2000,200,Extreme Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,1090039,Z,73,OKX,0,0,BROADCAST MEDIA,,,, , , , , , , , , ,,"
An arctic cold front swept across the region during Sunday afternoon, January 16th.  Strong and gusty northwest winds combined with well below normal temperatures and produced extremely low wind chill values mainly from midnight to 10 am on January 17th and from 1 am to noon on January 18th.

On January 17th, wind speeds from 15 to 20 mph combined with temperatures from 5 to 10 degrees above 0, produced wind chill values from 15 to around 20 degrees below 0 in New York City and from 20 to 30 degrees below 0 across the Lower Hudson Valley.

On January 18th, wind speeds averaging 15 mph combined with temperatures from 0 to 5 above zero, produced wind chill values from 20 degrees below 0 at Central Park to 30 degrees below 0 at LaGuardia Airport.  Wind chills across the Lower Hudson Valley were 30 to 35 degrees below 0.

All 3 people in New York City died from exposure to extremely low wind chill values and extremely cold temperatures, as follows:

o	A homeless man from Sheepshead Bay in Brooklyn was found dead outdoors. 

o	A homeless man from Queens was found dead in a car.

o	A woman was found dead on the roof of a hospital.
	She wandered outdoors and was found near a door which led to the roof.",7
5127569,QUEENS (ZONE), ,1/17/2000,200,Extreme Cold/Wind Chill, , ,2,0,0,0,NY,EST, ,1090039,Z,76,OKX,0,0,NEWSPAPER,,,, , , , , , , , , ,,"
An arctic cold front swept across the region during Sunday afternoon, January 16th.  Strong and gusty northwest winds combined with well below normal temperatures and produced extremely low wind chill values mainly from midnight to 10 am on January 17th and from 1 am to noon on January 18th.

On January 17th, wind speeds from 15 to 20 mph combined with temperatures from 5 to 10 degrees above 0, produced wind chill values from 15 to around 20 degrees below 0 in New York City and from 20 to 30 degrees below 0 across the Lower Hudson Valley.

On January 18th, wind speeds averaging 15 mph combined with temperatures from 0 to 5 above zero, produced wind chill values from 20 degrees below 0 at Central Park to 30 degrees below 0 at LaGuardia Airport.  Wind chills across the Lower Hudson Valley were 30 to 35 degrees below 0.

All 3 people in New York City died from exposure to extremely low wind chill values and extremely cold temperatures, as follows:

o	A homeless man from Sheepshead Bay in Brooklyn was found dead outdoors. 

o	A homeless man from Queens was found dead in a car.

o	A woman was found dead on the roof of a hospital.
	She wandered outdoors and was found near a door which led to the roof.",8
5128015,NASSAU (ZONE), ,1/17/2000,200,Extreme Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,1090039,Z,77,OKX,0,0,BROADCAST MEDIA,,,, , , , , , , , , ,,"
An arctic cold front swept across the region during Sunday afternoon, January 16th.  Strong and gusty northwest winds combined with well below normal temperatures and produced extremely low wind chill values mainly from midnight to 10 am on January 17th and from 1 am to noon on January 18th.

On January 17th, wind speeds from 15 to 20 mph combined with temperatures from 5 to 10 degrees above 0, produced wind chill values from 15 to around 20 degrees below 0 in New York City and from 20 to 30 degrees below 0 across the Lower Hudson Valley.

On January 18th, wind speeds averaging 15 mph combined with temperatures from 0 to 5 above zero, produced wind chill values from 20 degrees below 0 at Central Park to 30 degrees below 0 at LaGuardia Airport.  Wind chills across the Lower Hudson Valley were 30 to 35 degrees below 0.

All 3 people in New York City died from exposure to extremely low wind chill values and extremely cold temperatures, as follows:

o	A homeless man from Sheepshead Bay in Brooklyn was found dead outdoors. 

o	A homeless man from Queens was found dead in a car.

o	A woman was found dead on the roof of a hospital.
	She wandered outdoors and was found near a door which led to the roof.",9
5128016,NORTHWEST SUFFOLK (ZONE), ,1/17/2000,200,Extreme Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,1090039,Z,78,OKX,0,0,BROADCAST MEDIA,,,, , , , , , , , , ,,"
An arctic cold front swept across the region during Sunday afternoon, January 16th.  Strong and gusty northwest winds combined with well below normal temperatures and produced extremely low wind chill values mainly from midnight to 10 am on January 17th and from 1 am to noon on January 18th.

On January 17th, wind speeds from 15 to 20 mph combined with temperatures from 5 to 10 degrees above 0, produced wind chill values from 15 to around 20 degrees below 0 in New York City and from 20 to 30 degrees below 0 across the Lower Hudson Valley.

On January 18th, wind speeds averaging 15 mph combined with temperatures from 0 to 5 above zero, produced wind chill values from 20 degrees below 0 at Central Park to 30 degrees below 0 at LaGuardia Airport.  Wind chills across the Lower Hudson Valley were 30 to 35 degrees below 0.

All 3 people in New York City died from exposure to extremely low wind chill values and extremely cold temperatures, as follows:

o	A homeless man from Sheepshead Bay in Brooklyn was found dead outdoors. 

o	A homeless man from Queens was found dead in a car.

o	A woman was found dead on the roof of a hospital.
	She wandered outdoors and was found near a door which led to the roof.",10
