EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,,,,,,,,,,,,,,,,,,,,,,
5332017,NORTHERN ONEIDA (ZONE), ,11/13/2003,1700,Heavy Snow, , ,0,0,10000,0,NY,EST, ,1164052,Z,9,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Lake effect snow showers and squalls started the afternoon of the 13th and continued into the early morning hours of the 14th when they tapered off.  Snowfall amounts across the northern two thirds of Oneida County were mostly between 6 and 12 inches.  Some of the higher amounts were Point Rock with 13.5 inches, Highmarket with 10.2 inches, and Holland Patent with 10.6 inches.  Sustained winds of 20 to 30 mph created blowing and drifting snow further hindering travel.",1,,,,,,,,,,,,,,,,,,,,,,,
5332018,SOUTHERN ONEIDA (ZONE), ,11/13/2003,1700,Heavy Snow, , ,0,0,10000,0,NY,EST, ,1164052,Z,37,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Lake effect snow showers and squalls started the afternoon of the 13th and continued into the early morning hours of the 14th when they tapered off.  Snowfall amounts across the northern two thirds of Oneida County were mostly between 6 and 12 inches.  Some of the higher amounts were Point Rock with 13.5 inches, Highmarket with 10.2 inches, and Holland Patent with 10.6 inches.  Sustained winds of 20 to 30 mph created blowing and drifting snow further hindering travel.",2,,,,,,,,,,,,,,,,,,,,,,,
5336033,CATTARAUGUS (ZONE), ,11/13/2003,1930,Heavy Snow, , ,0,0,0,0,NY,EST, ,1164069,Z,20,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"As deep low pressure moved down the St. Lawrence Valley, moisture wrapped around the storms and combined with colder air to produce the first general snowfall of the season. While most of the area received two to four inches of snow, the higher elevations of the western southern tier and the Tug Hill plateau saw snowfalls of eight to eleven inches.",3,,,,,,,,,,,,,,,,,,,,,,,
5336034,ALLEGANY (ZONE), ,11/13/2003,2200,Heavy Snow, , ,0,0,0,0,NY,EST, ,1164069,Z,21,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"As deep low pressure moved down the St. Lawrence Valley, moisture wrapped around the storms and combined with colder air to produce the first general snowfall of the season. While most of the area received two to four inches of snow, the higher elevations of the western southern tier and the Tug Hill plateau saw snowfalls of eight to eleven inches.",4,,,,,,,,,,,,,,,,,,,,,,,
5336035,LEWIS (ZONE), ,11/14/2003,1,Heavy Snow, , ,0,0,0,0,NY,EST, ,1164069,Z,8,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"As deep low pressure moved down the St. Lawrence Valley, moisture wrapped around the storms and combined with colder air to produce the first general snowfall of the season. While most of the area received two to four inches of snow, the higher elevations of the western southern tier and the Tug Hill plateau saw snowfalls of eight to eleven inches.",5,,,,,,,,,,,,,,,,,,,,,,,
5336036,ERIE (ZONE), ,11/25/2003,555,Heavy Snow, , ,0,0,0,0,NY,EST, ,1164070,Z,10,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,The first lake effect event of the season was a brief but intense one. Lake effect snows developed behind a cold front. A single band of snow developed across northern Erie and Genesee counties. Snow fell a the rate of one to two inches per hour. Thunder and lightning was reported. Seven to ten inches of snow fell in a narrow area from Elma to Alden to Darien.,6,,,,,,,,,,,,,,,,,,,,,,,
5336037,GENESEE (ZONE), ,11/25/2003,815,Heavy Snow, , ,0,0,0,0,NY,EST, ,1164070,Z,11,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,The first lake effect event of the season was a brief but intense one. Lake effect snows developed behind a cold front. A single band of snow developed across northern Erie and Genesee counties. Snow fell a the rate of one to two inches per hour. Thunder and lightning was reported. Seven to ten inches of snow fell in a narrow area from Elma to Alden to Darien.,7,,,,,,,,,,,,,,,,,,,,,,,
5336038,CATTARAUGUS (ZONE), ,11/29/2003,730,Heavy Snow, , ,0,0,0,0,NY,EST, ,1164071,Z,20,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Low pressure moved across southern Ontario and northern New York. As the low moved down the St. Lawrence Valley, rain changed to snow over the area. While most areas only saw a couple of inches, the higher elevations of the western southern tier and the Tug Hill plateau received eight to twelve inches of  snow.",8,,,,,,,,,,,,,,,,,,,,,,,
5336039,CHAUTAUQUA (ZONE), ,11/29/2003,930,Heavy Snow, , ,0,0,0,0,NY,EST, ,1164071,Z,19,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Low pressure moved across southern Ontario and northern New York. As the low moved down the St. Lawrence Valley, rain changed to snow over the area. While most areas only saw a couple of inches, the higher elevations of the western southern tier and the Tug Hill plateau received eight to twelve inches of  snow.",9,,,,,,,,,,,,,,,,,,,,,,,
5336040,OSWEGO (ZONE), ,11/29/2003,1210,Heavy Snow, , ,0,0,0,0,NY,EST, ,1164071,Z,6,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Low pressure moved across southern Ontario and northern New York. As the low moved down the St. Lawrence Valley, rain changed to snow over the area. While most areas only saw a couple of inches, the higher elevations of the western southern tier and the Tug Hill plateau received eight to twelve inches of  snow.",10,,,,,,,,,,,,,,,,,,,,,,,
5332020,NORTHERN ONEIDA (ZONE), ,11/29/2003,1300,Heavy Snow, , ,0,0,10000,0,NY,EST, ,1164054,Z,9,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,A deepening low pressure system over southeast Canada brought in much colder air which crossed the warmer open waters of Lake Ontario.  Heavy lake effect snow started the morning of the 29th and ended in the afternoon.  Snowfall totals were 6 to 10 inches.  Strong winds gusting over 40 mph created blowing and drifting snow.,11,,,,,,,,,,,,,,,,,,,,,,,
5336041,LEWIS (ZONE), ,11/29/2003,1540,Heavy Snow, , ,0,0,0,0,NY,EST, ,1164071,Z,8,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Low pressure moved across southern Ontario and northern New York. As the low moved down the St. Lawrence Valley, rain changed to snow over the area. While most areas only saw a couple of inches, the higher elevations of the western southern tier and the Tug Hill plateau received eight to twelve inches of  snow.",12,,,,,,,,,,,,,,,,,,,,,,,
5328841,NORTHERN ONEIDA (ZONE), ,12/2/2003,0,Heavy Snow, , ,0,0,20000,0,NY,EST, ,1165201,Z,9,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A cold front moved through central New York the morning of the 1st.  Rain showers with the front changed to snow showers.  The cold air behind the front set off lake effect snow showers.  Lake effect snow bands off of Lake Ontario organized in the early afternoon of the 1st, then continued into the early morning of the 2nd when it ended.  Snowfall amounts were 6 to 10 inches.  Snowfall rates approached 2 inches an hour the evening of the 1st.",13,,,,,,,,,,,,,,,,,,,,,,,
5328842,SOUTHERN ONEIDA (ZONE), ,12/2/2003,0,Heavy Snow, , ,0,0,20000,0,NY,EST, ,1165201,Z,37,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A cold front moved through central New York the morning of the 1st.  Rain showers with the front changed to snow showers.  The cold air behind the front set off lake effect snow showers.  Lake effect snow bands off of Lake Ontario organized in the early afternoon of the 1st, then continued into the early morning of the 2nd when it ended.  Snowfall amounts were 6 to 10 inches.  Snowfall rates approached 2 inches an hour the evening of the 1st.",14,,,,,,,,,,,,,,,,,,,,,,,
