EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,,,,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,,
5477424,NORTHERN HERKIMER (ZONE), ,10/25/2005,2000,Heavy Snow, , ,0,0,0,0,NY,EST, ,1200294,Z,32,ALY,0,0,DEPT OF HIGHWAYS, , , , , , , , , , , , ,The highway Department reported 10 inches of snow accumulated from the vicinity of the town of Ohio to the North Lake area.  The heavy wet snow brought down many trees.,,1,,,
5477667,NORTHERN WARREN (ZONE), ,10/25/2005,2000,Heavy Snow, , ,0,0,0,0,NY,EST, ,1200296,Z,42,ALY,0,0,GENERAL PUBLIC,,,, , , , , , , , , ,Gore Mountain Ski personnel reported 12 inches of snow accumulated.  Lots of trees were brought down by the heavy wet snow.,,2,,,
5477666,HAMILTON (ZONE), ,10/25/2005,2000,Heavy Snow, , ,0,0,0,0,NY,EST, ,1200295,Z,33,ALY,0,0,BROADCAST MEDIA,,,, , , , , , , , , ,"An observer from the weather observing network of TV station WRGB reported 8 to 10 inches of snow accumulated at Indian Lake.  A trained weather spotter talked with an NWS forecaster at 11 PM EST, reporting 8.5 inches of snow, the sound of cracking trees, and said there were numerous power outages.",,3,,,
5477668,WESTERN ULSTER (ZONE), ,10/26/2005,200,Heavy Snow, , ,0,0,0,0,NY,EST, ,1200297,Z,63,ALY,0,0,GENERAL PUBLIC,,,, , , , , , , , , ,Up to 14 inches of snow was reported in the hills and mountains of western Ulster County.  The most snow was reported atop Hunter Mountain - elevation 3200 feet.  The heavy snow accumulation occurred above the 1500 foot level.,,4,,,
5477422,SCHOHARIE (ZONE), ,10/26/2005,300,Heavy Snow, , ,0,0,0,0,NY,EST, ,1200292,Z,47,ALY,0,0,LAW ENFORCEMENT,,,, , , , , , , , , ,Law enforcement reports that heavy snow occurred county wide and that some trees and power lines were brought down.  There was 6 inches of snow at Conesville at 12 AM EST and that snow was still occurring at that time.,,5,,,
5477423,WESTERN GREENE (ZONE), ,10/26/2005,300,Heavy Snow, , ,0,0,0,0,NY,EST, ,1200293,Z,58,ALY,0,0,LAW ENFORCEMENT,,,, , , , , , , , , ,"Law enforcement reports that heavy snow occurred at Prattsville, and that hundreds of tree limbs were down due to the heavy wet snow.  There were 10 to 12 inches of snow at Prattsville.  It was reported that there were similar snowfall amounts and damage at other high-elevation towns in Greene County.  These included Haines Falls, Ashland, Windham, Tannersville, East Jewett, and Jewett.",,6,,,
5484186,SOUTHERN ERIE (ZONE), ,11/17/2005,502,Heavy Snow, , ,0,0,100000,0,NY,EST, ,1201785,Z,85,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"The first lake effect event of the season brought over a foot of heavy, wet snow to the areas downwind of Lake Erie while areas east of Lake Ontario received seven to ten inches. Off Lake Erie, the heavy snow, falling at the rate of 2 per hour", concentrated within an eight mile wide stip from the lake shore near Silver Creek and Angola, Elma and Alden. The weight of the wet snow caused several buildings to collapse," including a large bowling in Hamburg. Specific snow totals included: 18"" at Elma; 17"" at Marilla; 16"" at Orchard Park and Hamburg; 14"" at Bennington; 13"" at East Aurora; 9"" at Carthage and Harrisville; 8"" at Darien and 7"" at Beaver Falls.""",7
5484185,WYOMING (ZONE), ,11/17/2005,740,Heavy Snow, , ,0,0,100000,0,NY,EST, ,1201785,Z,12,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"The first lake effect event of the season brought over a foot of heavy, wet snow to the areas downwind of Lake Erie while areas east of Lake Ontario received seven to ten inches. Off Lake Erie, the heavy snow, falling at the rate of 2 per hour", concentrated within an eight mile wide stip from the lake shore near Silver Creek and Angola, Elma and Alden. The weight of the wet snow caused several buildings to collapse," including a large bowling in Hamburg. Specific snow totals included: 18"" at Elma; 17"" at Marilla; 16"" at Orchard Park and Hamburg; 14"" at Bennington; 13"" at East Aurora; 9"" at Carthage and Harrisville; 8"" at Darien and 7"" at Beaver Falls.""",8
5484188,NORTHERN ERIE (ZONE), ,11/17/2005,755,Heavy Snow, , ,0,0,1000000,0,NY,EST, ,1201785,Z,10,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"The first lake effect event of the season brought over a foot of heavy, wet snow to the areas downwind of Lake Erie while areas east of Lake Ontario received seven to ten inches. Off Lake Erie, the heavy snow, falling at the rate of 2 per hour", concentrated within an eight mile wide stip from the lake shore near Silver Creek and Angola, Elma and Alden. The weight of the wet snow caused several buildings to collapse," including a large bowling in Hamburg. Specific snow totals included: 18"" at Elma; 17"" at Marilla; 16"" at Orchard Park and Hamburg; 14"" at Bennington; 13"" at East Aurora; 9"" at Carthage and Harrisville; 8"" at Darien and 7"" at Beaver Falls.""",9
5484187,GENESEE (ZONE), ,11/17/2005,830,Heavy Snow, , ,0,0,500000,0,NY,EST, ,1201785,Z,11,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"The first lake effect event of the season brought over a foot of heavy, wet snow to the areas downwind of Lake Erie while areas east of Lake Ontario received seven to ten inches. Off Lake Erie, the heavy snow, falling at the rate of 2 per hour", concentrated within an eight mile wide stip from the lake shore near Silver Creek and Angola, Elma and Alden. The weight of the wet snow caused several buildings to collapse," including a large bowling in Hamburg. Specific snow totals included: 18"" at Elma; 17"" at Marilla; 16"" at Orchard Park and Hamburg; 14"" at Bennington; 13"" at East Aurora; 9"" at Carthage and Harrisville; 8"" at Darien and 7"" at Beaver Falls.""",10
