EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,,,,,,,,,,,,,,,,,,,,,
5625489,NORTHEAST CLINTON (ZONE), ,10/23/1997,2000,Heavy Snow, , ,0,0,5000,0,NY,EST, ,2071690,Z,28,BTV,0,0, ,,,, , , , , , , , , ,,"A weak trough of low pressure moved across New York late Thursday night, October 23 and Friday morning, October 24. Snow fell across portions of northern New York with the heaviest accumulations in the higher terrain of northeast New York. At Ellenburgh Depot (Clinton county) 7 inches accumulated.",1,,,,,,,,,,,,,,,,,,,,,,
5620641,STEUBEN (ZONE), ,11/14/1997,0,Heavy Snow, , ,0,0,0,0,NY,EST, ,2071101,Z,22,BGM,0,0, ,,,, , , , , , , , , ,,"A complex storm system, with its main center having tracked up the coast from Virginia to New England, brought a period of heavy wet snow to much of central New York from just after midnight on the 14th until late that same evening.  
     Amounts were heaviest from portions of the central southern tier across the Finger Lakes region and into the Mohawk Valley.  There were many localities within this area that received over a foot of snow from this event.  Some of the highest totals follow:  Auburn (Cayuga county) - 16 inches, Burdett (Schuyler county) - 14 inches, Holland Patent (Oneida county) - 13 inches, Reading Centre (Schuyler county) - 12 inches, and Haskinville (Steuben county) - 12 inches.  Snow loading from the heavy wet nature of the snowfall resulted in downed power lines and isolated roof collapses in sections of Onondaga and Oneida counties.  
     A broader area of 6 to 10 inch accumulations affected most of the central southern tier and Susquehanna regions across New York's southern tier.",2,,,,,,,,,,,,,,,,,,,,,,
5620643,TOMPKINS (ZONE), ,11/14/1997,0,Heavy Snow, , ,0,0,0,0,NY,EST, ,2071101,Z,25,BGM,0,0, ,,,, , , , , , , , , ,,"A complex storm system, with its main center having tracked up the coast from Virginia to New England, brought a period of heavy wet snow to much of central New York from just after midnight on the 14th until late that same evening.  
     Amounts were heaviest from portions of the central southern tier across the Finger Lakes region and into the Mohawk Valley.  There were many localities within this area that received over a foot of snow from this event.  Some of the highest totals follow:  Auburn (Cayuga county) - 16 inches, Burdett (Schuyler county) - 14 inches, Holland Patent (Oneida county) - 13 inches, Reading Centre (Schuyler county) - 12 inches, and Haskinville (Steuben county) - 12 inches.  Snow loading from the heavy wet nature of the snowfall resulted in downed power lines and isolated roof collapses in sections of Onondaga and Oneida counties.  
     A broader area of 6 to 10 inch accumulations affected most of the central southern tier and Susquehanna regions across New York's southern tier.",3,,,,,,,,,,,,,,,,,,,,,,
5620642,TIOGA (ZONE), ,11/14/1997,0,Heavy Snow, , ,0,0,0,0,NY,EST, ,2071101,Z,55,BGM,0,0, ,,,, , , , , , , , , ,,"A complex storm system, with its main center having tracked up the coast from Virginia to New England, brought a period of heavy wet snow to much of central New York from just after midnight on the 14th until late that same evening.  
     Amounts were heaviest from portions of the central southern tier across the Finger Lakes region and into the Mohawk Valley.  There were many localities within this area that received over a foot of snow from this event.  Some of the highest totals follow:  Auburn (Cayuga county) - 16 inches, Burdett (Schuyler county) - 14 inches, Holland Patent (Oneida county) - 13 inches, Reading Centre (Schuyler county) - 12 inches, and Haskinville (Steuben county) - 12 inches.  Snow loading from the heavy wet nature of the snowfall resulted in downed power lines and isolated roof collapses in sections of Onondaga and Oneida counties.  
     A broader area of 6 to 10 inch accumulations affected most of the central southern tier and Susquehanna regions across New York's southern tier.",4,,,,,,,,,,,,,,,,,,,,,,
5620644,YATES (ZONE), ,11/14/1997,0,Heavy Snow, , ,0,0,0,0,NY,EST, ,2071101,Z,15,BGM,0,0, ,,,, , , , , , , , , ,,"A complex storm system, with its main center having tracked up the coast from Virginia to New England, brought a period of heavy wet snow to much of central New York from just after midnight on the 14th until late that same evening.  
     Amounts were heaviest from portions of the central southern tier across the Finger Lakes region and into the Mohawk Valley.  There were many localities within this area that received over a foot of snow from this event.  Some of the highest totals follow:  Auburn (Cayuga county) - 16 inches, Burdett (Schuyler county) - 14 inches, Holland Patent (Oneida county) - 13 inches, Reading Centre (Schuyler county) - 12 inches, and Haskinville (Steuben county) - 12 inches.  Snow loading from the heavy wet nature of the snowfall resulted in downed power lines and isolated roof collapses in sections of Onondaga and Oneida counties.  
     A broader area of 6 to 10 inch accumulations affected most of the central southern tier and Susquehanna regions across New York's southern tier.",5,,,,,,,,,,,,,,,,,,,,,,
5620635,ONONDAGA (ZONE), ,11/14/1997,0,Heavy Snow, , ,0,0,0,0,NY,EST, ,2071101,Z,18,BGM,0,0, ,,,, , , , , , , , , ,,"A complex storm system, with its main center having tracked up the coast from Virginia to New England, brought a period of heavy wet snow to much of central New York from just after midnight on the 14th until late that same evening.  
     Amounts were heaviest from portions of the central southern tier across the Finger Lakes region and into the Mohawk Valley.  There were many localities within this area that received over a foot of snow from this event.  Some of the highest totals follow:  Auburn (Cayuga county) - 16 inches, Burdett (Schuyler county) - 14 inches, Holland Patent (Oneida county) - 13 inches, Reading Centre (Schuyler county) - 12 inches, and Haskinville (Steuben county) - 12 inches.  Snow loading from the heavy wet nature of the snowfall resulted in downed power lines and isolated roof collapses in sections of Onondaga and Oneida counties.  
     A broader area of 6 to 10 inch accumulations affected most of the central southern tier and Susquehanna regions across New York's southern tier.",6,,,,,,,,,,,,,,,,,,,,,,
5620640,SOUTHERN ONEIDA (ZONE), ,11/14/1997,0,Heavy Snow, , ,0,0,0,0,NY,EST, ,2071101,Z,37,BGM,0,0, ,,,, , , , , , , , , ,,"A complex storm system, with its main center having tracked up the coast from Virginia to New England, brought a period of heavy wet snow to much of central New York from just after midnight on the 14th until late that same evening.  
     Amounts were heaviest from portions of the central southern tier across the Finger Lakes region and into the Mohawk Valley.  There were many localities within this area that received over a foot of snow from this event.  Some of the highest totals follow:  Auburn (Cayuga county) - 16 inches, Burdett (Schuyler county) - 14 inches, Holland Patent (Oneida county) - 13 inches, Reading Centre (Schuyler county) - 12 inches, and Haskinville (Steuben county) - 12 inches.  Snow loading from the heavy wet nature of the snowfall resulted in downed power lines and isolated roof collapses in sections of Onondaga and Oneida counties.  
     A broader area of 6 to 10 inch accumulations affected most of the central southern tier and Susquehanna regions across New York's southern tier.",7,,,,,,,,,,,,,,,,,,,,,,
5620639,SOUTHERN CAYUGA (ZONE), ,11/14/1997,0,Heavy Snow, , ,0,0,0,0,NY,EST, ,2071101,Z,17,BGM,0,0, ,,,, , , , , , , , , ,,"A complex storm system, with its main center having tracked up the coast from Virginia to New England, brought a period of heavy wet snow to much of central New York from just after midnight on the 14th until late that same evening.  
     Amounts were heaviest from portions of the central southern tier across the Finger Lakes region and into the Mohawk Valley.  There were many localities within this area that received over a foot of snow from this event.  Some of the highest totals follow:  Auburn (Cayuga county) - 16 inches, Burdett (Schuyler county) - 14 inches, Holland Patent (Oneida county) - 13 inches, Reading Centre (Schuyler county) - 12 inches, and Haskinville (Steuben county) - 12 inches.  Snow loading from the heavy wet nature of the snowfall resulted in downed power lines and isolated roof collapses in sections of Onondaga and Oneida counties.  
     A broader area of 6 to 10 inch accumulations affected most of the central southern tier and Susquehanna regions across New York's southern tier.",8,,,,,,,,,,,,,,,,,,,,,,
5620634,NORTHERN ONEIDA (ZONE), ,11/14/1997,0,Heavy Snow, , ,0,0,0,0,NY,EST, ,2071101,Z,9,BGM,0,0, ,,,, , , , , , , , , ,,"A complex storm system, with its main center having tracked up the coast from Virginia to New England, brought a period of heavy wet snow to much of central New York from just after midnight on the 14th until late that same evening.  
     Amounts were heaviest from portions of the central southern tier across the Finger Lakes region and into the Mohawk Valley.  There were many localities within this area that received over a foot of snow from this event.  Some of the highest totals follow:  Auburn (Cayuga county) - 16 inches, Burdett (Schuyler county) - 14 inches, Holland Patent (Oneida county) - 13 inches, Reading Centre (Schuyler county) - 12 inches, and Haskinville (Steuben county) - 12 inches.  Snow loading from the heavy wet nature of the snowfall resulted in downed power lines and isolated roof collapses in sections of Onondaga and Oneida counties.  
     A broader area of 6 to 10 inch accumulations affected most of the central southern tier and Susquehanna regions across New York's southern tier.",9,,,,,,,,,,,,,,,,,,,,,,
5619586,BROOME (ZONE), ,11/14/1997,0,Heavy Snow, , ,0,0,0,0,NY,EST, ,2071101,Z,56,BGM,0,0, ,,,, , , , , , , , , ,,"A complex storm system, with its main center having tracked up the coast from Virginia to New England, brought a period of heavy wet snow to much of central New York from just after midnight on the 14th until late that same evening.  
     Amounts were heaviest from portions of the central southern tier across the Finger Lakes region and into the Mohawk Valley.  There were many localities within this area that received over a foot of snow from this event.  Some of the highest totals follow:  Auburn (Cayuga county) - 16 inches, Burdett (Schuyler county) - 14 inches, Holland Patent (Oneida county) - 13 inches, Reading Centre (Schuyler county) - 12 inches, and Haskinville (Steuben county) - 12 inches.  Snow loading from the heavy wet nature of the snowfall resulted in downed power lines and isolated roof collapses in sections of Onondaga and Oneida counties.  
     A broader area of 6 to 10 inch accumulations affected most of the central southern tier and Susquehanna regions across New York's southern tier.",10,,,,,,,,,,,,,,,,,,,,,,
