EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,,,,,,,,,,,,,,,,
5723022,LEWIS (ZONE), ,11/3/1999,650,Heavy Snow, , ,0,0,5000,0,NY,EST, ,2414484,Z,8,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Cold air crossing the relatively warmer waters of Lakes Erie and Ontario resulted in lake effect snow squalls. The lake effect bands developed during the morning hours producing two to four inches across the higher elevations. During the late afternoon and evening, the squalls strengthened with thunder also being reported. Numerous auto accidents were blamed on the early season snows. Specific snowfall reports included: Ellicottville 14; New Albion 11""; Little Valley 10""; Montague 9""; Hooker"," Stockton and North Osceola 8"".""",,,,,,,,,,,,,,,,,
5723023,CHAUTAUQUA (ZONE), ,11/3/1999,1545,Heavy Snow, , ,0,0,5000,0,NY,EST, ,2414484,Z,19,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Cold air crossing the relatively warmer waters of Lakes Erie and Ontario resulted in lake effect snow squalls. The lake effect bands developed during the morning hours producing two to four inches across the higher elevations. During the late afternoon and evening, the squalls strengthened with thunder also being reported. Numerous auto accidents were blamed on the early season snows. Specific snowfall reports included: Ellicottville 14; New Albion 11""; Little Valley 10""; Montague 9""; Hooker"," Stockton and North Osceola 8"".""",,,,,,,,,,,,,,,,,
5723024,CATTARAUGUS (ZONE), ,11/3/1999,1935,Heavy Snow, , ,0,0,5000,0,NY,EST, ,2414484,Z,20,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Cold air crossing the relatively warmer waters of Lakes Erie and Ontario resulted in lake effect snow squalls. The lake effect bands developed during the morning hours producing two to four inches across the higher elevations. During the late afternoon and evening, the squalls strengthened with thunder also being reported. Numerous auto accidents were blamed on the early season snows. Specific snowfall reports included: Ellicottville 14; New Albion 11""; Little Valley 10""; Montague 9""; Hooker"," Stockton and North Osceola 8"".""",,,,,,,,,,,,,,,,,
5722565,MADISON (ZONE), ,11/29/1999,600,Heavy Snow, , ,0,0,0,0,NY,EST, ,2414504,Z,36,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"
	Bands of lake effect snow set up across the area during the early morning hours and brought generally 3 to 6 inch amounts of snow to portions of the Finger Lakes, western Mohawk Valley and southern Tug Hill Plateau regions of central New York. During the late morning, an arctic frontal boundary dropped south over Lake Ontario and the snow bands transformed into squalls of heavy snow and gusty winds.  Visibilities dropped dramatically, and several inches of snow piled up in just a few hours. 
	The city of Baldwinsville, located in the northern part of Onondaga county, received nearly 11 inches of snow between 8:00 a.m. and noon and wound up with about a foot by the time the snow ended during the  mid afternoon. Elsewhere the Syracuse metro area demonstrated just how variable lake effect snow can be. The downtown observation recorded 7 of new snowfall this day", while just a few miles north of the city,,,,,,,,,,,,,,,,,
5722568,SOUTHERN CAYUGA (ZONE), ,11/29/1999,600,Heavy Snow, , ,0,0,0,0,NY,EST, ,2414504,Z,17,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"
	Bands of lake effect snow set up across the area during the early morning hours and brought generally 3 to 6 inch amounts of snow to portions of the Finger Lakes, western Mohawk Valley and southern Tug Hill Plateau regions of central New York. During the late morning, an arctic frontal boundary dropped south over Lake Ontario and the snow bands transformed into squalls of heavy snow and gusty winds.  Visibilities dropped dramatically, and several inches of snow piled up in just a few hours. 
	The city of Baldwinsville, located in the northern part of Onondaga county, received nearly 11 inches of snow between 8:00 a.m. and noon and wound up with about a foot by the time the snow ended during the  mid afternoon. Elsewhere the Syracuse metro area demonstrated just how variable lake effect snow can be. The downtown observation recorded 7 of new snowfall this day", while just a few miles north of the city,,,,,,,,,,,,,,,,,
5722567,ONONDAGA (ZONE), ,11/29/1999,600,Heavy Snow, , ,0,0,0,0,NY,EST, ,2414504,Z,18,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"
	Bands of lake effect snow set up across the area during the early morning hours and brought generally 3 to 6 inch amounts of snow to portions of the Finger Lakes, western Mohawk Valley and southern Tug Hill Plateau regions of central New York. During the late morning, an arctic frontal boundary dropped south over Lake Ontario and the snow bands transformed into squalls of heavy snow and gusty winds.  Visibilities dropped dramatically, and several inches of snow piled up in just a few hours. 
	The city of Baldwinsville, located in the northern part of Onondaga county, received nearly 11 inches of snow between 8:00 a.m. and noon and wound up with about a foot by the time the snow ended during the  mid afternoon. Elsewhere the Syracuse metro area demonstrated just how variable lake effect snow can be. The downtown observation recorded 7 of new snowfall this day", while just a few miles north of the city,,,,,,,,,,,,,,,,,
5722566,NORTHERN ONEIDA (ZONE), ,11/29/1999,600,Heavy Snow, , ,0,0,0,0,NY,EST, ,2414504,Z,9,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"
	Bands of lake effect snow set up across the area during the early morning hours and brought generally 3 to 6 inch amounts of snow to portions of the Finger Lakes, western Mohawk Valley and southern Tug Hill Plateau regions of central New York. During the late morning, an arctic frontal boundary dropped south over Lake Ontario and the snow bands transformed into squalls of heavy snow and gusty winds.  Visibilities dropped dramatically, and several inches of snow piled up in just a few hours. 
	The city of Baldwinsville, located in the northern part of Onondaga county, received nearly 11 inches of snow between 8:00 a.m. and noon and wound up with about a foot by the time the snow ended during the  mid afternoon. Elsewhere the Syracuse metro area demonstrated just how variable lake effect snow can be. The downtown observation recorded 7 of new snowfall this day", while just a few miles north of the city,,,,,,,,,,,,,,,,,
5722569,SOUTHERN ONEIDA (ZONE), ,11/29/1999,600,Heavy Snow, , ,0,0,0,0,NY,EST, ,2414504,Z,37,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"
	Bands of lake effect snow set up across the area during the early morning hours and brought generally 3 to 6 inch amounts of snow to portions of the Finger Lakes, western Mohawk Valley and southern Tug Hill Plateau regions of central New York. During the late morning, an arctic frontal boundary dropped south over Lake Ontario and the snow bands transformed into squalls of heavy snow and gusty winds.  Visibilities dropped dramatically, and several inches of snow piled up in just a few hours. 
	The city of Baldwinsville, located in the northern part of Onondaga county, received nearly 11 inches of snow between 8:00 a.m. and noon and wound up with about a foot by the time the snow ended during the  mid afternoon. Elsewhere the Syracuse metro area demonstrated just how variable lake effect snow can be. The downtown observation recorded 7 of new snowfall this day", while just a few miles north of the city,,,,,,,,,,,,,,,,,
5720674,CATTARAUGUS (ZONE), ,12/16/1999,1530,Heavy Snow, , ,0,0,10000,0,NY,EST, ,2414021,Z,20,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Cold air crossing the Great Lakes produced lake effect snows downwind of Lakes Erie and Ontario.
Off Lake Erie the band of precipitation began across the Niagara Peninsula, but settled south quickly across the Buffalo metro area before settling over southern Erie, Wyoming and the northern portions of Chautauqua and Cattaraugus counties. Snow fell heavily in this area and thunder was reported. Snowfall totals were close to a foot with specific reports of  14 at Perrysburg; 11"" at Springville"," and 10"" at Warsaw",,,,,,,,,,,,,,,,,
5721268,ONONDAGA (ZONE), ,12/26/1999,1700,Heavy Snow, , ,0,0,0,0,NY,EST, ,2413981,Z,18,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"An arctic air mass in the wake of a strong cold front brought locally heavy lake effect snow to Oneida, Onondaga and Madison counties. Specific snowfall reports included: Baldinsville 12; Clay 9""; Morrisville 8.4""; Cazenovia 7""; and Boonville 8"".""",22,,,,,,,,,,,,,,,,,
