EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5545814,SOUTHERN ONEIDA (ZONE), ,1/5/1996,2200,Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,2031627,Z,37,BGM,0,0, ,,,,, , , , , , , , ,,"An arctic airmass settled into central New York on the afternoon of the 5th and lasted through the 7th, bringing extreme cold to the region. Late in the day on the 5th, record lows were set in Syracuse (-15F which broke the record of -9F in 1910) and Binghamton (-5F which broke the record of -1F in 1981). On the morning of the 6th, record lows were once again set in Syracuse 
(-24F which broke the record of -12F in 1912) and Binghamton (-7F which broke the record of -2F in 1988). Finally, on the morning of the 7th, the low temperature of -1F in Binghamton tied the record low for the date, which was set in 1968.",1
5545804,NORTHERN ONEIDA (ZONE), ,1/5/1996,2200,Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,2031627,Z,9,BGM,0,0, ,,,,, , , , , , , , ,,"An arctic airmass settled into central New York on the afternoon of the 5th and lasted through the 7th, bringing extreme cold to the region. Late in the day on the 5th, record lows were set in Syracuse (-15F which broke the record of -9F in 1910) and Binghamton (-5F which broke the record of -1F in 1981). On the morning of the 6th, record lows were once again set in Syracuse 
(-24F which broke the record of -12F in 1912) and Binghamton (-7F which broke the record of -2F in 1988). Finally, on the morning of the 7th, the low temperature of -1F in Binghamton tied the record low for the date, which was set in 1968.",2
5545806,SENECA (ZONE), ,1/5/1996,2200,Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,2031627,Z,16,BGM,0,0, ,,,,, , , , , , , , ,,"An arctic airmass settled into central New York on the afternoon of the 5th and lasted through the 7th, bringing extreme cold to the region. Late in the day on the 5th, record lows were set in Syracuse (-15F which broke the record of -9F in 1910) and Binghamton (-5F which broke the record of -1F in 1981). On the morning of the 6th, record lows were once again set in Syracuse 
(-24F which broke the record of -12F in 1912) and Binghamton (-7F which broke the record of -2F in 1988). Finally, on the morning of the 7th, the low temperature of -1F in Binghamton tied the record low for the date, which was set in 1968.",3
5545805,YATES (ZONE), ,1/5/1996,2200,Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,2031627,Z,15,BGM,0,0, ,,,,, , , , , , , , ,,"An arctic airmass settled into central New York on the afternoon of the 5th and lasted through the 7th, bringing extreme cold to the region. Late in the day on the 5th, record lows were set in Syracuse (-15F which broke the record of -9F in 1910) and Binghamton (-5F which broke the record of -1F in 1981). On the morning of the 6th, record lows were once again set in Syracuse 
(-24F which broke the record of -12F in 1912) and Binghamton (-7F which broke the record of -2F in 1988). Finally, on the morning of the 7th, the low temperature of -1F in Binghamton tied the record low for the date, which was set in 1968.",4
5545820,DELAWARE (ZONE), ,1/5/1996,2200,Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,2031627,Z,57,BGM,0,0, ,,,,, , , , , , , , ,,"An arctic airmass settled into central New York on the afternoon of the 5th and lasted through the 7th, bringing extreme cold to the region. Late in the day on the 5th, record lows were set in Syracuse (-15F which broke the record of -9F in 1910) and Binghamton (-5F which broke the record of -1F in 1981). On the morning of the 6th, record lows were once again set in Syracuse 
(-24F which broke the record of -12F in 1912) and Binghamton (-7F which broke the record of -2F in 1988). Finally, on the morning of the 7th, the low temperature of -1F in Binghamton tied the record low for the date, which was set in 1968.",5
5545821,SULLIVAN (ZONE), ,1/5/1996,2200,Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,2031627,Z,62,BGM,0,0, ,,,,, , , , , , , , ,,"An arctic airmass settled into central New York on the afternoon of the 5th and lasted through the 7th, bringing extreme cold to the region. Late in the day on the 5th, record lows were set in Syracuse (-15F which broke the record of -9F in 1910) and Binghamton (-5F which broke the record of -1F in 1981). On the morning of the 6th, record lows were once again set in Syracuse 
(-24F which broke the record of -12F in 1912) and Binghamton (-7F which broke the record of -2F in 1988). Finally, on the morning of the 7th, the low temperature of -1F in Binghamton tied the record low for the date, which was set in 1968.",6
5545811,CHEMUNG (ZONE), ,1/5/1996,2200,Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,2031627,Z,24,BGM,0,0, ,,,,, , , , , , , , ,,"An arctic airmass settled into central New York on the afternoon of the 5th and lasted through the 7th, bringing extreme cold to the region. Late in the day on the 5th, record lows were set in Syracuse (-15F which broke the record of -9F in 1910) and Binghamton (-5F which broke the record of -1F in 1981). On the morning of the 6th, record lows were once again set in Syracuse 
(-24F which broke the record of -12F in 1912) and Binghamton (-7F which broke the record of -2F in 1988). Finally, on the morning of the 7th, the low temperature of -1F in Binghamton tied the record low for the date, which was set in 1968.",7
5545810,SCHUYLER (ZONE), ,1/5/1996,2200,Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,2031627,Z,23,BGM,0,0, ,,,,, , , , , , , , ,,"An arctic airmass settled into central New York on the afternoon of the 5th and lasted through the 7th, bringing extreme cold to the region. Late in the day on the 5th, record lows were set in Syracuse (-15F which broke the record of -9F in 1910) and Binghamton (-5F which broke the record of -1F in 1981). On the morning of the 6th, record lows were once again set in Syracuse 
(-24F which broke the record of -12F in 1912) and Binghamton (-7F which broke the record of -2F in 1988). Finally, on the morning of the 7th, the low temperature of -1F in Binghamton tied the record low for the date, which was set in 1968.",8
5545809,STEUBEN (ZONE), ,1/5/1996,2200,Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,2031627,Z,22,BGM,0,0, ,,,,, , , , , , , , ,,"An arctic airmass settled into central New York on the afternoon of the 5th and lasted through the 7th, bringing extreme cold to the region. Late in the day on the 5th, record lows were set in Syracuse (-15F which broke the record of -9F in 1910) and Binghamton (-5F which broke the record of -1F in 1981). On the morning of the 6th, record lows were once again set in Syracuse 
(-24F which broke the record of -12F in 1912) and Binghamton (-7F which broke the record of -2F in 1988). Finally, on the morning of the 7th, the low temperature of -1F in Binghamton tied the record low for the date, which was set in 1968.",9
5545816,CHENANGO (ZONE), ,1/5/1996,2200,Cold/Wind Chill, , ,0,0,0,0,NY,EST, ,2031627,Z,45,BGM,0,0, ,,,,, , , , , , , , ,,"An arctic airmass settled into central New York on the afternoon of the 5th and lasted through the 7th, bringing extreme cold to the region. Late in the day on the 5th, record lows were set in Syracuse (-15F which broke the record of -9F in 1910) and Binghamton (-5F which broke the record of -1F in 1981). On the morning of the 6th, record lows were once again set in Syracuse 
(-24F which broke the record of -12F in 1912) and Binghamton (-7F which broke the record of -2F in 1988). Finally, on the morning of the 7th, the low temperature of -1F in Binghamton tied the record low for the date, which was set in 1968.",10
