EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5322751,WESTERN DUTCHESS (ZONE), ,11/17/2002,0,Winter Storm, , ,0,0,25000,0,NY,EST, ,1144609,Z,65,ALY,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A strong nor'easter developed off Cape Hatteras on Saturday, November 16. The low pressure center then slowly moved north along the coast, reaching Cape Cod by late November 17. At the same time, a shallow layer of arctic air bled south from eastern Canada. The air was cold enough to produce a heavy wintery mix of precipitation during a good portion of the storm across eastern New York. Initially, the precipitation fell as snow, or snow and sleet mixed. A 1-3 inch swath of snow was observed from about Albany southward. A 3-6 inch swath of snow fell north of Albany. As warmer air worked in aloft, the snow changed to sleet, then freezing rain. Freezing rain was more extensive south of Albany, where up to 58,000 customers lost power in the Mid Hudson Valley. Ice accretion was between one-half and one inch. Western Ulster County was especially hard hit where in addition to the ice, winds frequently gusted to 30 mph and, with lingering leaves on the trees, brought many trees and power lines down. Further north, the combination of snow, sleet and freezing rain still caused up to 1,000 customers in the Lake George Saratoga region to loose power, and spotty power losses elsewhere in the Capital District. In addition, there was a loss of significant limbs on trees and dangerous travel conditions. As warmer air worked in, temperatures finally reached above the freezing mark across the region, putting an end to the winter precipitation on Sunday morning. However, on the back side of the storm, additional snow fell. While these additional accumulations were relatively minor, the snow did produce tricky travel again late Sunday into early Monday. Some customers in the Mid Hudson Valley were without power for several days.",1
5322755,WESTERN ULSTER (ZONE), ,11/17/2002,0,Winter Storm, , ,0,0,25000,0,NY,EST, ,1144609,Z,63,ALY,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A strong nor'easter developed off Cape Hatteras on Saturday, November 16. The low pressure center then slowly moved north along the coast, reaching Cape Cod by late November 17. At the same time, a shallow layer of arctic air bled south from eastern Canada. The air was cold enough to produce a heavy wintery mix of precipitation during a good portion of the storm across eastern New York. Initially, the precipitation fell as snow, or snow and sleet mixed. A 1-3 inch swath of snow was observed from about Albany southward. A 3-6 inch swath of snow fell north of Albany. As warmer air worked in aloft, the snow changed to sleet, then freezing rain. Freezing rain was more extensive south of Albany, where up to 58,000 customers lost power in the Mid Hudson Valley. Ice accretion was between one-half and one inch. Western Ulster County was especially hard hit where in addition to the ice, winds frequently gusted to 30 mph and, with lingering leaves on the trees, brought many trees and power lines down. Further north, the combination of snow, sleet and freezing rain still caused up to 1,000 customers in the Lake George Saratoga region to loose power, and spotty power losses elsewhere in the Capital District. In addition, there was a loss of significant limbs on trees and dangerous travel conditions. As warmer air worked in, temperatures finally reached above the freezing mark across the region, putting an end to the winter precipitation on Sunday morning. However, on the back side of the storm, additional snow fell. While these additional accumulations were relatively minor, the snow did produce tricky travel again late Sunday into early Monday. Some customers in the Mid Hudson Valley were without power for several days.",2
5322678,EASTERN ALBANY (ZONE), ,11/17/2002,0,Winter Storm, , ,0,0,10000,0,NY,EST, ,1144609,Z,52,ALY,0,0,AWOS,,,, , , , , , , , , , , , 
5322739,FULTON (ZONE), ,11/17/2002,0,Winter Storm, , ,0,0,10000,0,NY,EST, ,1144609,Z,39,ALY,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A strong nor'easter developed off Cape Hatteras on Saturday, November 16. The low pressure center then slowly moved north along the coast, reaching Cape Cod by late November 17. At the same time, a shallow layer of arctic air bled south from eastern Canada. The air was cold enough to produce a heavy wintery mix of precipitation during a good portion of the storm across eastern New York. Initially, the precipitation fell as snow, or snow and sleet mixed. A 1-3 inch swath of snow was observed from about Albany southward. A 3-6 inch swath of snow fell north of Albany. As warmer air worked in aloft, the snow changed to sleet, then freezing rain. Freezing rain was more extensive south of Albany, where up to 58,000 customers lost power in the Mid Hudson Valley. Ice accretion was between one-half and one inch. Western Ulster County was especially hard hit where in addition to the ice, winds frequently gusted to 30 mph and, with lingering leaves on the trees, brought many trees and power lines down. Further north, the combination of snow, sleet and freezing rain still caused up to 1,000 customers in the Lake George Saratoga region to loose power, and spotty power losses elsewhere in the Capital District. In addition, there was a loss of significant limbs on trees and dangerous travel conditions. As warmer air worked in, temperatures finally reached above the freezing mark across the region, putting an end to the winter precipitation on Sunday morning. However, on the back side of the storm, additional snow fell. While these additional accumulations were relatively minor, the snow did produce tricky travel again late Sunday into early Monday. Some customers in the Mid Hudson Valley were without power for several days.",4
5322740,HAMILTON (ZONE), ,11/17/2002,0,Winter Storm, , ,0,0,10000,0,NY,EST, ,1144609,Z,33,ALY,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A strong nor'easter developed off Cape Hatteras on Saturday, November 16. The low pressure center then slowly moved north along the coast, reaching Cape Cod by late November 17. At the same time, a shallow layer of arctic air bled south from eastern Canada. The air was cold enough to produce a heavy wintery mix of precipitation during a good portion of the storm across eastern New York. Initially, the precipitation fell as snow, or snow and sleet mixed. A 1-3 inch swath of snow was observed from about Albany southward. A 3-6 inch swath of snow fell north of Albany. As warmer air worked in aloft, the snow changed to sleet, then freezing rain. Freezing rain was more extensive south of Albany, where up to 58,000 customers lost power in the Mid Hudson Valley. Ice accretion was between one-half and one inch. Western Ulster County was especially hard hit where in addition to the ice, winds frequently gusted to 30 mph and, with lingering leaves on the trees, brought many trees and power lines down. Further north, the combination of snow, sleet and freezing rain still caused up to 1,000 customers in the Lake George Saratoga region to loose power, and spotty power losses elsewhere in the Capital District. In addition, there was a loss of significant limbs on trees and dangerous travel conditions. As warmer air worked in, temperatures finally reached above the freezing mark across the region, putting an end to the winter precipitation on Sunday morning. However, on the back side of the storm, additional snow fell. While these additional accumulations were relatively minor, the snow did produce tricky travel again late Sunday into early Monday. Some customers in the Mid Hudson Valley were without power for several days.",5
5322747,WARREN (ZONE), ,11/17/2002,0,Winter Storm, , ,0,0,10000,0,NY,EST, ,1144609,Z,42,ALY,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A strong nor'easter developed off Cape Hatteras on Saturday, November 16. The low pressure center then slowly moved north along the coast, reaching Cape Cod by late November 17. At the same time, a shallow layer of arctic air bled south from eastern Canada. The air was cold enough to produce a heavy wintery mix of precipitation during a good portion of the storm across eastern New York. Initially, the precipitation fell as snow, or snow and sleet mixed. A 1-3 inch swath of snow was observed from about Albany southward. A 3-6 inch swath of snow fell north of Albany. As warmer air worked in aloft, the snow changed to sleet, then freezing rain. Freezing rain was more extensive south of Albany, where up to 58,000 customers lost power in the Mid Hudson Valley. Ice accretion was between one-half and one inch. Western Ulster County was especially hard hit where in addition to the ice, winds frequently gusted to 30 mph and, with lingering leaves on the trees, brought many trees and power lines down. Further north, the combination of snow, sleet and freezing rain still caused up to 1,000 customers in the Lake George Saratoga region to loose power, and spotty power losses elsewhere in the Capital District. In addition, there was a loss of significant limbs on trees and dangerous travel conditions. As warmer air worked in, temperatures finally reached above the freezing mark across the region, putting an end to the winter precipitation on Sunday morning. However, on the back side of the storm, additional snow fell. While these additional accumulations were relatively minor, the snow did produce tricky travel again late Sunday into early Monday. Some customers in the Mid Hudson Valley were without power for several days.",6
5322680,EASTERN DUTCHESS (ZONE), ,11/17/2002,0,Winter Storm, , ,0,0,10000,0,NY,EST, ,1144609,Z,66,ALY,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A strong nor'easter developed off Cape Hatteras on Saturday, November 16. The low pressure center then slowly moved north along the coast, reaching Cape Cod by late November 17. At the same time, a shallow layer of arctic air bled south from eastern Canada. The air was cold enough to produce a heavy wintery mix of precipitation during a good portion of the storm across eastern New York. Initially, the precipitation fell as snow, or snow and sleet mixed. A 1-3 inch swath of snow was observed from about Albany southward. A 3-6 inch swath of snow fell north of Albany. As warmer air worked in aloft, the snow changed to sleet, then freezing rain. Freezing rain was more extensive south of Albany, where up to 58,000 customers lost power in the Mid Hudson Valley. Ice accretion was between one-half and one inch. Western Ulster County was especially hard hit where in addition to the ice, winds frequently gusted to 30 mph and, with lingering leaves on the trees, brought many trees and power lines down. Further north, the combination of snow, sleet and freezing rain still caused up to 1,000 customers in the Lake George Saratoga region to loose power, and spotty power losses elsewhere in the Capital District. In addition, there was a loss of significant limbs on trees and dangerous travel conditions. As warmer air worked in, temperatures finally reached above the freezing mark across the region, putting an end to the winter precipitation on Sunday morning. However, on the back side of the storm, additional snow fell. While these additional accumulations were relatively minor, the snow did produce tricky travel again late Sunday into early Monday. Some customers in the Mid Hudson Valley were without power for several days.",7
5322742,NORTHERN HERKIMER (ZONE), ,11/17/2002,0,Winter Storm, , ,0,0,10000,0,NY,EST, ,1144609,Z,32,ALY,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A strong nor'easter developed off Cape Hatteras on Saturday, November 16. The low pressure center then slowly moved north along the coast, reaching Cape Cod by late November 17. At the same time, a shallow layer of arctic air bled south from eastern Canada. The air was cold enough to produce a heavy wintery mix of precipitation during a good portion of the storm across eastern New York. Initially, the precipitation fell as snow, or snow and sleet mixed. A 1-3 inch swath of snow was observed from about Albany southward. A 3-6 inch swath of snow fell north of Albany. As warmer air worked in aloft, the snow changed to sleet, then freezing rain. Freezing rain was more extensive south of Albany, where up to 58,000 customers lost power in the Mid Hudson Valley. Ice accretion was between one-half and one inch. Western Ulster County was especially hard hit where in addition to the ice, winds frequently gusted to 30 mph and, with lingering leaves on the trees, brought many trees and power lines down. Further north, the combination of snow, sleet and freezing rain still caused up to 1,000 customers in the Lake George Saratoga region to loose power, and spotty power losses elsewhere in the Capital District. In addition, there was a loss of significant limbs on trees and dangerous travel conditions. As warmer air worked in, temperatures finally reached above the freezing mark across the region, putting an end to the winter precipitation on Sunday morning. However, on the back side of the storm, additional snow fell. While these additional accumulations were relatively minor, the snow did produce tricky travel again late Sunday into early Monday. Some customers in the Mid Hudson Valley were without power for several days.",8
5322746,SOUTHERN SARATOGA (ZONE), ,11/17/2002,0,Winter Storm, , ,0,0,10000,0,NY,EST, ,1144609,Z,50,ALY,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A strong nor'easter developed off Cape Hatteras on Saturday, November 16. The low pressure center then slowly moved north along the coast, reaching Cape Cod by late November 17. At the same time, a shallow layer of arctic air bled south from eastern Canada. The air was cold enough to produce a heavy wintery mix of precipitation during a good portion of the storm across eastern New York. Initially, the precipitation fell as snow, or snow and sleet mixed. A 1-3 inch swath of snow was observed from about Albany southward. A 3-6 inch swath of snow fell north of Albany. As warmer air worked in aloft, the snow changed to sleet, then freezing rain. Freezing rain was more extensive south of Albany, where up to 58,000 customers lost power in the Mid Hudson Valley. Ice accretion was between one-half and one inch. Western Ulster County was especially hard hit where in addition to the ice, winds frequently gusted to 30 mph and, with lingering leaves on the trees, brought many trees and power lines down. Further north, the combination of snow, sleet and freezing rain still caused up to 1,000 customers in the Lake George Saratoga region to loose power, and spotty power losses elsewhere in the Capital District. In addition, there was a loss of significant limbs on trees and dangerous travel conditions. As warmer air worked in, temperatures finally reached above the freezing mark across the region, putting an end to the winter precipitation on Sunday morning. However, on the back side of the storm, additional snow fell. While these additional accumulations were relatively minor, the snow did produce tricky travel again late Sunday into early Monday. Some customers in the Mid Hudson Valley were without power for several days.",9
5322681,EASTERN GREENE (ZONE), ,11/17/2002,0,Winter Storm, , ,0,0,10000,0,NY,EST, ,1144609,Z,59,ALY,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A strong nor'easter developed off Cape Hatteras on Saturday, November 16. The low pressure center then slowly moved north along the coast, reaching Cape Cod by late November 17. At the same time, a shallow layer of arctic air bled south from eastern Canada. The air was cold enough to produce a heavy wintery mix of precipitation during a good portion of the storm across eastern New York. Initially, the precipitation fell as snow, or snow and sleet mixed. A 1-3 inch swath of snow was observed from about Albany southward. A 3-6 inch swath of snow fell north of Albany. As warmer air worked in aloft, the snow changed to sleet, then freezing rain. Freezing rain was more extensive south of Albany, where up to 58,000 customers lost power in the Mid Hudson Valley. Ice accretion was between one-half and one inch. Western Ulster County was especially hard hit where in addition to the ice, winds frequently gusted to 30 mph and, with lingering leaves on the trees, brought many trees and power lines down. Further north, the combination of snow, sleet and freezing rain still caused up to 1,000 customers in the Lake George Saratoga region to loose power, and spotty power losses elsewhere in the Capital District. In addition, there was a loss of significant limbs on trees and dangerous travel conditions. As warmer air worked in, temperatures finally reached above the freezing mark across the region, putting an end to the winter precipitation on Sunday morning. However, on the back side of the storm, additional snow fell. While these additional accumulations were relatively minor, the snow did produce tricky travel again late Sunday into early Monday. Some customers in the Mid Hudson Valley were without power for several days.",10
