EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5143364,HARRIS CO.,NORTHWEST PORTION,04/02/2000,420,Flash Flood, , ,0,0,50000,0,TX,CST, ,1094262,C,201,HGX,0,0,TRAINED SPOTTER, , , , , , , ,NORTHWEST PORTION, , , , ,"Significant over curb flooding in the Silverstone and Creekstone subdivisions along Mason Rd.

An upper level disturbance spawned a large cluster of thunderstorms over the southern half of southeast Texas in the early morning of April 2nd.  Harris, Liberty, and Montgomery counties were hardest hit with widespread reports of large hail, downburst wind damage and flooding.","",1
5140929,JEFFERSON CO.,NEDERLAND,04/12/2000,1000,Flash Flood, , ,0,0,250000,0,TX,CST, ,1094045,C,245,LCH,0,0,NEWSPAPER, , , , , , , ,NEDERLAND, , , , ,"","Between 5 and 7.5 inches of rain fell in less than three hours, resulting in significant flooding of central Jefferson County. The hardest hit area was Nederland, where several homes and businesses, including a hotel, had over a foot of water enter them. There were many reports of stalled cars on feeder roads off of Highway 69.",2
5149614,HARRIS CO.,NORTH PORTION,05/19/2000,1720,Flash Flood, , ,0,0,200000,0,TX,CST, ,1096610,C,201,HGX,0,0,TRAINED SPOTTER, , , , , , , ,NORTH PORTION, , , , ,"Major flooding on Greens, Airtex, Rankin, and Aldine-Westfield Roads with 4 homes damaged.  One foot of water in approach control tower at Intercontinental Airport.","",3
5149701,HARRIS CO.,NORTHEAST PORTION,05/19/2000,2100,Flash Flood, , ,0,0,200000,0,TX,CST, ,1096610,C,201,HGX,0,0,NEWSPAPER, , , , , , , ,NORTHEAST PORTION, , , , ,"Four feet of standing water on streets in Kingwood.  Significant street flooding in Huffman.  Will Clayton Parkway underwater near Intercontinental Airport.","",4
5149993,CHAMBERS CO.,WEST CENTRAL PORTION,05/20/2000,230,Flash Flood, , ,0,0,50000,0,TX,CST, ,1096610,C,71,HGX,0,0,EMERGENCY MANAGER, , , , , , , ,WEST CENTRAL PORTION, , , , ,"Flooding on SH 124 with street flooding in Anahuac.  Rainfall totals up to 8 inches in western part of county.

A stationary front combined with deep tropical moisture to produce widespread slow moving thunderstorms over Houston, Galveston, and surrounding areas.  Northeast Harris and western Liberty Counties were the hardest hit by a large supercell thunderstorm which remained nearly stationary for several hours.  The storm produced over 18 inches of rainfall in Liberty in only 5 hours with widespread flash flooding from near Intercontinental Airport eastward to the Liberty/Dayton areas.  Over 300 homes and businesses were damaged in western Liberty County with 60 to 80 people rescued from flood waters.  Strong winds resulted from some of the storms, downing trees and power lines, especially near Liberty and Dayton.  A storm survey revealed an  F0 tornado south of Dayton.","",5
5174434,BRAZORIA CO.,SOUTH PORTION,09/13/2000,400,Flash Flood, , ,0,0,150000,0,TX,CST, ,1103426,C,39,HGX,0,0,LAW ENFORCEMENT, , , , , , , ,SOUTH PORTION, , , , ,"Several roads and railroad underpass impassable in Freeport and Clute.  Water inside a house in Clute.  Cars flooded and high water in streets in Clute, Freeport, and Danbury.  Total of 7.7 inches of rainfall in Angleton.","",6
5174435,GALVESTON CO.,COUNTYWIDE,09/13/2000,1230,Flash Flood, , ,0,0,100000,0,TX,CST, ,1103426,C,167,HGX,0,0,LAW ENFORCEMENT, , , , , , , ,COUNTYWIDE, , , , ,"Foot of standing water on streets in League City with cars flooded and stalled.  Street flooding in Galveston with flooding on Broadway.  Several cars submerged in water and several streets barricaded in Texas City including Palmer Highway.  Over 7 inches of rainfall in League City.","",7
5238719,HARRIS CO.,HOUSTON,03/28/2001,330,Flash Flood, , ,0,0,20000,0,TX,CST, ,1112408,C,201,HGX,0,0,EMERGENCY MANAGER, , , , , , , ,HOUSTON, , , , ,"Flooding on Interstate 10 between Washington Street and Interstate 610.","",8
5238720,HARRIS CO.,HOUSTON,03/28/2001,420,Flash Flood, , ,0,0,15000,0,TX,CST, ,1112408,C,201,HGX,0,0,EMERGENCY MANAGER, , , , , , , ,HOUSTON, , , , ,"Flooding on Milam and Travis Streets in downtown Houston.","",9
5255995,GALVESTON CO.,COUNTYWIDE,06/05/2001,1600,Flash Flood, , ,0,0,0,0,TX,CST, ,1118284,C,167,HGX,0,0,LAW ENFORCEMENT, , , , , , , ,COUNTYWIDE, , , , ,"Flooding from T.S. Allison.  Damage included in previous report.","",10
