EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5486070,HARRIS (ZONE), ,01/17/2006,1430,Strong Wind,40, ,1,1,40000,0,TX,CST,EG,1203608,Z,213,HGX,0,0,NEWSPAPER, , , , , , , , , , , , ,"Wind collapsed the side of an oil storage tank in Deer Park. As a result, a scaffolding within the interior of this tank holding two men toppled killing one of these men.","",1
199891,JEFFERSON (ZONE), ,10/09/2009,1150,Strong Wind,47.00, ,0,0,1000,0,TX,CST-6,MG,34610,Z,215,LCH,0,0,ASOS, , , , , , , , , , , , ,"Southeast Texas Regional Airport ASOS measured a wind gust of 54 mph. The public reported a tree blown down near the airport.","A strong cold front pushing southeastward across southeast Texas caused a few reports of strong winds and isolated wind damage in the Beaumont/Port Arthur area.  Although a line of showers was associated with the cold front, no thunderstorms were present.",2
279103,JEFFERSON (ZONE), ,01/09/2011,1200,Strong Wind,46.00, ,0,0,10000,0,TX,CST-6,MG,47874,Z,215,LCH,0,0,Mesonet, , , , , , , , , , , , ,"The KFDM-TV mesonet measured wind gusts of 45 mph or higher at many stations between 1200 PM CST and 100 PM CST, with a peak wind gust of 53 mph at Lamar University in Beaumont. A TCEQ monitoring station in Port Arthur measured a peak wind gust of 52 mph. The KBPT ASOS measured a peak wind gust of 49 mph at 1218 PM CST. Entergy stated up to 4000 customers lost power across Jefferson County, and the public reported siding damage to homes on College Street in Beaumont.","A powerful low pressure system moved across the northwest Gulf of Mexico during the morning and early afternoon hours on January 9, producing numerous showers and thunderstorms across southeast Texas. After the precipitation moved east of the region, a wake low event caused strong east to southeast winds with measured wind gusts of 45 to 55 mph at many locations. Scattered reports of damage were received in Jefferson, Orange, and southern Hardin counties.",3
426571,HARRIS (ZONE), ,12/25/2012,930,Strong Wind,43.00, ,1,0,0,0,TX,CST-6,EG,70971,Z,213,HGX,0,0,Broadcast Media, , , , , , , , , , , , ,"A man who was clearing downed tree branches was struck and killed by a falling tree branch.","On Christmas Day strong to severe thunderstorms developed along a warm front that was lifting north through the area. One of those storms produced an EF-3 tornado near Pennington, TX.",4
423208,JACKSON (ZONE), ,01/29/2013,1400,Strong Wind,45.00, ,0,0,5000,0,TX,CST-6,EG,70469,Z,235,HGX,0,0,Public, , , , , , , , , , , , ,"High winds downed trees onto the roofs of two apartment buildings on North Kleas Street in in Edna.","Strong onshore winds ahead of an early evening cold front and thunderstorm winds along the edge of the front itself downed trees. In addition, hail occurred within a thunderstorm cell behind the front.",5
675242,BRAZORIA (ZONE), ,01/22/2017,1000,Strong Wind,38.00, ,0,0,1500,0,TX,CST-6,MG,112991,Z,237,HGX,0,0,Law Enforcement, , , , , , , , , , , , ,"Three power poles were downed in Lake Jackson.","Strong northwest winds behind a cold frontal passage produced mainly power line damage and downed some trees. The most damage occurred in the Harris County area.",6
675240,HARRIS (ZONE), ,01/22/2017,1021,Strong Wind,45.00, ,0,0,20000,0,TX,CST-6,MG,112991,Z,213,HGX,0,0,Fire Department/Rescue, , , , , , , , , , , , ,"There were more than 25 reports of power lines and power poles downed across the county. There were also a couple of trees that were snapped. One tree fell onto a home, and another tree fell onto a car. Some scaffolding and a fence were blown down too.","Strong northwest winds behind a cold frontal passage produced mainly power line damage and downed some trees. The most damage occurred in the Harris County area.",7
675241,GALVESTON (ZONE), ,01/22/2017,1100,Strong Wind,41.00, ,0,0,1000,0,TX,CST-6,MG,112991,Z,238,HGX,0,0,Law Enforcement, , , , , , , , , , , , ,"Power lines were downed in the League City area.","Strong northwest winds behind a cold frontal passage produced mainly power line damage and downed some trees. The most damage occurred in the Harris County area.",8
796552,JEFFERSON (ZONE), ,12/26/2018,1353,Strong Wind,39.00, ,0,0,5000,0,TX,CST-6,EG,133137,Z,215,LCH,0,0,Public, , , , , , , , , , , , ,"A tree was blown down onto a storage shed on Trinidad Street.","Strong gradient winds produce a few reports of damage. Winds were sustained at 20 to 30 MPH with gust over 40 MPH.",9
796551,JEFFERSON (ZONE), ,12/26/2018,1356,Strong Wind,39.00, ,0,0,5000,0,TX,CST-6,EG,133137,Z,215,LCH,0,0,Broadcast Media, , , , , , , , , , , , ,"A few utility poles were blown down in Beaumont near Ford Park and also in Port Neches. Wind gust were 40 to 45 MPH.","Strong gradient winds produce a few reports of damage. Winds were sustained at 20 to 30 MPH with gust over 40 MPH.",10
