EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
847084,LIVE OAK CO.,ESSEVILLE,07/03/2019,1705,Flash Flood, , ,0,0,0,0,TX,CST-6, ,140982,C,297,CRP,0,0,Law Enforcement,Heavy Rain, , ,4,SE,2,SSE,WHITSETT,28.6354,-98.1692,28.6049,-98.2597,"Flooding occurred along Interstate 37 between Three Rivers and Whitsett.","Scattered thunderstorms formed over the northern Brush Country ahead of a weak upper level disturbance during the afternoon. The thunderstorms produced locally heavy rainfall over the northern portion of Live Oak County that caused flooding.",1
834408,MIDLAND CO.,MIDLAND,07/03/2019,2259,Flash Flood, , ,0,0,10000,0,TX,CST-6, ,138754,C,329,MAF,0,0,Social Media,Heavy Rain, , ,3,WNW,2,NW,MIDLAND,32.0187,-102.133,32.0239,-102.1097,"Heavy rain moved across Midland County and produced flash flooding in the City of Midland. There was flash flooding along Wadley Avenue which caused several cars to stall out. The cost of damage is a very rough estimate.","An upper level ridge was over the region, but an upper level disturbance within the ridge moved over West Texas. This upper disturbance provided lift across the area and combined with low-level moisture. These conditions resulted in storms that produced large hail and flash flooding across the Permian Basin.",2
834423,MIDLAND CO.,(MAF) MIDLAND INTL,07/04/2019,120,Flash Flood, , ,0,0,0,0,TX,CST-6, ,138754,C,329,MAF,0,0,Trained Spotter,Heavy Rain, , ,2,NE,2,ENE,(MAF) MIDLAND INTL,31.9468,-102.1705,31.9485,-102.1671,"Heavy rain fell across Midland County and produced flash flooding near the City of Midland. There was water five feet over Frontage Road along Business 20 and Midland Draw. No damage was reported.","An upper level ridge was over the region, but an upper level disturbance within the ridge moved over West Texas. This upper disturbance provided lift across the area and combined with low-level moisture. These conditions resulted in storms that produced large hail and flash flooding across the Permian Basin.",3
843951,POTTER CO.,AMARILLO,07/06/2019,510,Flood, , ,0,0,0,0,TX,CST-6, ,140382,C,375,AMA,0,0,NWS Employee,Heavy Rain, , ,1,SE,1,SE,AMARILLO,35.1927,-101.8132,35.1925,-101.8132,"Two feet of water was observed on access road of interstate 40 in front of Tri-State Ford dealership. Three to four vehicles were stalled.","Scattered afternoon thunderstorms across the western half of the Texas Panhandle became more numerous during the evening as they moved east.  By early evening the thunderstorms congealed into a line which moved across the eastern half of the Texas Panhandle during the evening of July 5 and early morning hours of July 6.  During the evening damaging gusts were observed.  In the early morning hours of July 6 a cluster of thunderstorms which developed near the New Mexico state line intensified and congealed into a line which moved slowly through the western half of the Texas Panhandle. These thunderstorms produced heavy rains which caused localized flooding in Amarillo.",4
842756,JACK CO.,BARTONS CHAPEL,07/08/2019,1300,Flash Flood, , ,0,0,500,0,TX,CST-6, ,140075,C,237,FWD,0,0,Emergency Manager,Heavy Rain, , ,4,SW,4,SW,BARTONS CHAPEL,33.0324,-98.2759,33.0257,-98.2764,"Emergency management reported a bridge covered by water and possibly washed out along Halsell Ranch Road approximately 1.5 miles west of FM 4 north of the city of Graford, TX.","A mesoscale convective vortex (MCV) resulting from Sunday night storms across West-Central Texas generated more showers and storms across western portions of North Texas on Monday. Heavy rain led to flooding in some areas.",5
847372,JEFFERSON CO.,CENTRAL HGTS,07/14/2019,1620,Flash Flood, , ,0,0,0,0,TX,CST-6, ,141040,C,245,LCH,0,0,Public,Heavy Rain, , ,1,SSW,3,ENE,GROVES,30.0087,-93.9884,29.9612,-93.865,"Street flooding was reported in Port Arthur and Port Neches closing some roads.","A slow moving rain band associated with the remnants of Hurricane Barry produced street flooding in Jefferson County.",6
836955,GAINES CO.,SEMINOLE,07/22/2019,2000,Flash Flood, , ,0,0,0,0,TX,CST-6, ,139150,C,165,MAF,0,0,Law Enforcement,Heavy Rain, , ,4,N,4,N,SEMINOLE,32.7764,-102.6409,32.7827,-102.6411,"Heavy rain fell across Gaines County and produced flash flooding four miles north of Seminole. There was water covering Highway 385. No damage was reported.","An upper ridge was over the Four Corners region and an upper trough was strengthening over the eastern part of the country. A cold front that was associated with the upper trough was moving through West Texas and southeast New Mexico. This front interacted with the plentiful moisture across the area. These conditions resulted in flash flooding across West Texas.",7
836957,ECTOR CO.,GARDENDALE,07/22/2019,2011,Flash Flood, , ,0,0,0,0,TX,CST-6, ,139150,C,135,MAF,0,0,Public,Heavy Rain, , ,3,NE,4,ENE,GARDENDALE,32.025,-102.3854,32.0291,-102.3656,"Heavy rain fell across Ector County and resulted in flooded bar ditches in Gardendale.","An upper ridge was over the Four Corners region and an upper trough was strengthening over the eastern part of the country. A cold front that was associated with the upper trough was moving through West Texas and southeast New Mexico. This front interacted with the plentiful moisture across the area. These conditions resulted in flash flooding across West Texas.",8
836956,MIDLAND CO.,WARFIELD,07/22/2019,2209,Flash Flood, , ,0,0,0,0,TX,CST-6, ,139150,C,329,MAF,0,0,NWS Employee,Heavy Rain, , ,1,E,1,ENE,WARFIELD,31.9218,-102.2192,31.922,-102.2186,"Heavy rain fell across Midland County and produced flash flooding about five miles southwest of Midland. There was approximately one to two feet of water over Business 20 under the FM 1788 overpass. No damage was reported.","An upper ridge was over the Four Corners region and an upper trough was strengthening over the eastern part of the country. A cold front that was associated with the upper trough was moving through West Texas and southeast New Mexico. This front interacted with the plentiful moisture across the area. These conditions resulted in flash flooding across West Texas.",9
853086,DEAF SMITH CO.,HEREFORD,08/08/2019,1613,Flood, , ,0,0,0,0,TX,CST-6, ,140872,C,117,AMA,0,0,Broadcast Media,Heavy Rain, , ,1,SE,0,ENE,HEREFORD,34.8147,-102.393,34.8236,-102.3926,"A Broadcast meteorologist reported localized street flooding in the Hereford area.","Isolated thunderstorms developed during the afternoon across the southwest, central and northeast Texas Panhandle. There was enough instability that a few storms across the southwest Texas Panhandle produced hail, strong winds and very heavy rains.",10
